Pair,Distance,Num zero-crossings,Pearson r,Spread mean,Spread SD,Hurst Exponent,Half-life of mean reversion,Hedge ratio
NX-KIM,1.8219996697066148,44.0,0.3340300941704171,0.6429392469263734,0.0663533143818572,0.3968133411177093,17.81461986024855,0.2031312417807598
NX-JLL,1.6846812805115632,38.0,0.49035206250171715,0.6958961437667415,0.06135247360226665,0.3785350542094736,15.007926949678694,0.1429206271504786
NX-LPLA,1.846623771524317,44.0,0.29563482838425476,0.6913803100402522,0.06725007127838506,0.38274021042864287,18.420719035364566,0.1430862900454402
NX-BAH,1.730088489895653,50.0,0.4460367659365667,0.7381419218606118,0.063006106635005,0.3780426531038851,15.47466397538836,0.09943062340795716
NX-RHI,1.7309645602793846,42.0,0.4451261950287186,0.6828762880941317,0.06303801123661326,0.38754117916143155,16.38459627354684,0.15409190944245332
NX-BLDR,1.7649940721508335,36.0,0.4077981597017746,0.7755048157556779,0.06427729296482068,0.3675132218585112,17.667093722589357,0.0908859299809287
NX-CSL,1.6902281430961563,46.0,0.4852166503018212,0.6046884603447286,0.06155447842313895,0.38570530220582383,15.524173251542857,0.2187579871081602
NX-RPM,1.7353011226006065,44.0,0.4405842768768285,0.6487698053210714,0.0631959395215744,0.3750559911308859,16.337598379504524,0.18011559073142958
NX-EWBC,1.7203833546983347,42.0,0.45597233625044875,0.6507231034326542,0.06265266645739521,0.38435314127403325,15.44187753327223,0.1655752166178004
NX-AIZ,1.838309923263717,40.0,0.3091906344982283,0.7167468309169565,0.06694729878257691,0.3921760489262532,17.314408928708303,0.10958231472880842
NX-SCI,1.7720569414706593,58.0,0.39951677131030366,0.7081432402729828,0.06453450749466298,0.38419370777754064,16.521393959726865,0.1299852888730071
NX-AFG,1.771569084413078,48.0,0.40009537970890663,0.6460717824777175,0.06451674078852507,0.3913478282819564,16.07451068103319,0.17391118702496833
NX-LAD,1.8240053390619337,52.0,0.33108769438465757,0.7644894692051798,0.06642635655167328,0.3818198218565796,17.449463608338032,0.0772466527021416
NX-NWL,1.7425870916674824,50.0,0.43281981497604427,0.6855940021788349,0.06346127886499416,0.3857917618987122,15.774361072735383,0.14499239700345434
NX-UGI,1.8146909816399772,38.0,0.34451324510277875,0.6910370667832277,0.06608714766126571,0.3890929962962663,17.246548254600366,0.14648790902045383
NX-UTHR,1.7014408936335434,46.0,0.47461300711346527,0.7370682688860214,0.061962822713131194,0.3830361465556694,14.53126517880478,0.08985731431470312
NX-LSI,1.7300875606976596,46.0,0.4460377304959698,0.6671456643022406,0.06300607279560995,0.38176017631311104,15.692469554004775,0.177199182730853
NX-ON,1.7081703152989336,46.0,0.4680993174876348,0.6490709279790191,0.06220789379563233,0.39227843936760654,16.03399193912152,0.19679531362717761
NX-FRT,1.7428273105058971,44.0,0.43256088762930917,0.6447408801758318,0.06347002711910789,0.389955601194948,16.155438985146958,0.20728951062576195
NX-ST,1.7368451285832205,46.0,0.4389530425172355,0.6562621692260154,0.06325216890299261,0.37352140250357774,16.68167683312938,0.1868085282186096
NX-DXC,1.724885708095654,42.0,0.4513972196728323,0.6153328864348528,0.06281663249723461,0.39162086926082096,15.338740039968888,0.20329372323530048
NX-SEE,1.7505709703248766,48.0,0.42410996705472565,0.7200093506705759,0.06375203457661617,0.38949152380824636,15.806885929257097,0.10173982079200838
NX-FHN,1.702235199976249,58.0,0.4738501566228499,0.5918544551085003,0.06199174964399149,0.38875608502543646,15.66244553038181,0.24069046637673885
NX-ARW,1.7664630238845187,44.0,0.40609239510841555,0.652335178412473,0.06433078903170673,0.388432762289135,17.58724088099936,0.185234571359143
NX-HII,1.733225631854577,46.0,0.4427652830591971,0.7305298747842657,0.06312035460668247,0.39014462075750017,15.277892514865648,0.09219231692112417
NX-RGA,1.7322989258615296,46.0,0.4437348009214001,0.6344703413385839,0.06308660596494632,0.3818688412060933,15.797239641165294,0.18758415920206417
NX-EHC,1.8088280304635311,46.0,0.3526682572013637,0.6976888947597673,0.06587363157282493,0.39104883066919754,17.326596071697285,0.12855015938613512
