,TRN,BDN,CMC,NYT,LEG,VNO,HLX,ORI,HP,EQC,MTOR,DKS,SEE,EAT,AGCO,AIV,WSM,BIG,HFC,AN,ENDP,OI,FFIV,AXL,VSH,NCR,MDRX,UIS,CRUS,FLR,MUR,ATI,PBI,PWR,TEX,RRC,FL,NVAX,LPX,CMA,AMKR,RMBS,MFA,ZION,HOG,UNM,IVZ,NWL,GME,JWN,NUAN,ANF,FHN,JBL,URBN,PBCT,HRB,LNC,RDN,TGNA,NYCB,WEN,CNX,STLD,TOL,BBBY,APA,MAT,BPOP,KBH,PTEN,SANM,DVN,MOS,OVV,TPR,CLF,AEO,KSS,SWN,MTG,GT,NOV,CDE,IPG,JBLU,THC,ODP,RIG,SNV,M,ON,GPS,X,MRO,XRX,JNPR,CAR,RAD,SLM
2005-09-21,7.20338396563,11.8049084036,10.5254821623,24.5608301693,10.5469075917,32.6450827592,30.47,7.40026573401,19.2650241799,17.4933523172,14.6267752688,11.068983922,17.2565680397,16.643649209,17.6102179976,1.92415982311,25.3028653016,8.68585880982,8.30426972315,19.84,28.49,20.8257819431,22.15,20.0652873821,9.3411920717,14.4029794041,5.67593584906,67.2,7.1,24.5102195381,27.5471543936,24.1972201073,18.0503119904,12.3581739473,22.8238852419,22.9247720585,13.3805564261,31.0,22.4325842516,37.3268294977,4.60533113379,10.9,0.913638232564,54.5052944287,34.1143555188,13.5424477555,7.86146228461,13.5253450917,11.1253914527,21.6148272879,4.41558441558,30.0653927988,10.7881063637,22.8515764027,26.235,6.86990569204,13.2558957978,36.8797951685,47.2764989941,22.8057960475,6.02628818329,9.60246462616,33.2198412955,5.60758544346,39.852318723,32.4377909758,62.7092874079,9.78343149038,180.873651516,55.5772597009,26.9602170051,25.2,51.0050726756,12.5035295754,104.480677048,22.2470303669,16.8268979155,8.09878248356,33.3132450511,16.47,56.102272847,13.368977381,25.1382470889,42.6,7.98143646224,11.85333926,44.56,248.703752727,49.0934209589,57.0835788337,19.7761214528,4.94,11.6022357963,36.91125961,15.6533568124,25.5068471859,19.1721236037,31.0747047792,73.0,16.0036743281
2005-09-22,7.12177463067,11.9192130259,10.5254821623,24.8309993011,10.6843610239,32.5000443932,30.02,7.42930916311,19.20387559,17.5779975704,14.7159085733,11.3722437554,17.3915607493,16.7527282863,17.4030389623,1.92465895666,25.5030789697,8.96446182825,8.45802684396,19.89,28.27,21.4138040215,22.055,20.0652873821,9.12907080514,14.5943811238,5.54401807397,65.9,6.9,25.4034371675,27.1522325022,24.1724109274,17.9508016415,12.4964748548,22.3115594053,22.6981680514,13.5266878591,33.2,23.3931306785,37.3142190823,4.44652661193,11.15,0.897480643242,55.3432405921,34.5800567861,13.5151030857,7.63359381259,13.822333456,11.2194466945,22.1912226822,4.45887445887,31.1769176903,10.6933479101,22.9223974039,26.925,6.92299242376,13.502517115,36.8942182405,46.9261661232,23.5700057084,6.02628818329,9.65641105664,32.9749107344,5.46808469994,41.1137081543,34.4142250598,61.4755556339,9.86079439146,181.093336113,57.9191747732,26.7369439864,24.3,50.511499693,12.3091741934,104.799730669,23.2545818248,16.6846874939,8.53966765064,34.0662819052,16.08,56.3480160927,13.3422927954,24.4753105939,41.3,8.03204339633,11.99333933,44.68,258.887175006,48.3786207498,57.2500639342,20.6467683092,4.89,11.7317554674,36.6103993198,15.5760071741,25.9778007897,18.9354724273,31.8383259096,81.4,16.134826986
2005-09-23,7.17255377242,11.9862191838,10.6506678656,24.7245690371,10.7372277286,32.4695100003,29.76,7.50191773585,18.7082501767,17.6485352813,14.8406951996,11.2926380491,17.6240481935,17.1163252106,17.2228832795,1.91966762119,25.5790220852,9.06279230534,8.19301976929,20.05,28.81,21.6196117489,22.255,20.3737050001,9.30191035567,14.7809978004,5.68982193065,65.6,7.12,25.5099677105,26.4759963869,24.3543449132,18.0330058428,12.5656253086,22.1592463188,22.144247145,13.4758595346,32.6,23.3676294459,37.4592388591,4.30757265531,11.24,0.898949514999,55.482898286,33.8710787374,13.5287754206,7.63359381259,13.6552775011,11.3538113256,22.4990702224,4.50216450216,31.5225748212,10.6847335053,23.3709304118,27.425,6.99779645483,13.2839209475,36.9807566727,46.9722625536,23.5768918539,5.98316626427,9.66240510447,32.825230947,5.68164139373,41.1800970717,34.7609678816,59.9496242292,9.86079439146,179.994913128,58.1549380355,26.2903979491,26.16,49.1598690638,12.6978849575,102.003319517,23.8429330411,17.0011557561,8.90905792576,33.8521154604,15.7325,56.9032137961,13.7870358886,24.1552722861,40.8,7.98866602425,11.94000597,45.64,263.364369284,46.9333104367,57.5206022225,20.581469795,5.15,11.6567703947,36.7479354525,15.1538991476,25.9589626456,18.8594602722,32.3526013649,80.0,16.0585754407
2005-09-26,7.07643611125,11.9389207194,10.818680257,24.7000082069,10.7160810468,32.6145483664,29.82,7.52515247913,19.1523820406,17.4510296907,14.6891685819,11.8460872452,17.6615461684,17.1799546723,16.9256264028,1.92865202504,25.5445024873,9.07098651176,8.38449084942,20.06,28.94,22.0998297796,22.575,20.437202745,9.31762304208,14.5608858228,5.79743906295,66.1,7.19,25.4198264818,26.7248512773,25.3797910148,17.9854139368,12.5952612173,21.873082338,23.3528018499,13.7236476165,33.8,22.9936113682,37.2700826285,4.26787152484,11.09,0.925389206617,55.5216920899,33.9892417456,13.5561200905,7.75352458733,13.6985883042,11.1824964209,22.1977726299,4.57142857143,31.7665680901,10.701962315,23.8981534211,28.57,6.90127512442,13.3904165163,37.0961412489,48.0324804523,23.3221536939,5.96160530476,9.8002682046,33.4647718567,5.81425321165,41.7301766733,35.2550764026,61.4512056647,9.86674538385,179.409087536,57.6755527355,27.0878015872,26.28,50.4127850965,12.746473803,105.400302191,23.7473259685,17.141363214,9.3936344157,33.9212014103,16.37,56.8850105927,13.6980872699,25.214446686,42.8,7.99589558626,12.08667271,45.88,262.837640545,48.2607965395,56.6257448074,20.5006240155,5.04,11.7181218178,36.8424915437,15.3793180937,25.6010379066,18.9692556074,31.6357325485,79.8,16.1073764297
2005-09-27,7.17618085398,11.9113299485,10.7099663567,24.5526432259,10.7425143991,32.5000443932,30.075,7.52224813622,19.3647929319,17.4087070641,14.6891685819,11.8460872452,17.6540465734,16.9254368253,16.9886808918,1.9261563573,25.5445024873,9.03820968607,8.49132616224,19.96,28.39,22.0508279398,22.16,20.4553449578,9.19977789399,14.5943811238,5.93629987883,66.7,7.2,25.6861528392,26.5625546097,25.2805542953,18.1498223394,12.5261107636,21.8223113092,24.0892648732,13.571162643,31.4,23.2741249265,37.1818097209,4.10906700299,11.08,0.898949514999,55.8320425208,33.0925930369,13.5151030857,7.7475280486,13.7295245922,10.9910268217,22.3680712691,4.58008658009,31.8953423154,10.6301756078,23.4102754125,28.55,6.99297038831,13.3904165163,36.7355644483,47.8019983004,23.4873891734,5.80349160168,9.73433367845,32.7934806891,5.68164139373,41.0473192369,35.0556992801,61.159006034,9.85484339907,177.798067158,56.5831829534,27.6220620248,24.3,51.0886004111,12.6735905347,104.724659229,24.0635647473,16.9971498287,9.30227983153,34.0455561202,16.45,56.429930508,13.8315101979,25.2906462831,41.3,8.06096164438,12.08667271,45.88,264.417826761,47.828774435,56.2927746064,20.8737583825,4.74,11.6908545186,36.4040951207,15.4478277734,25.3373038885,19.0790509426,31.7604053861,79.0,16.1744777896
2005-09-28,7.19612980252,11.733960707,10.6836114718,24.6345126598,10.7055077058,32.1298148798,30.505,7.5164394504,19.5321469676,17.3099542687,14.8941751823,11.391197495,17.6165485986,16.8209027096,16.4482138432,1.90968495026,25.5168868089,8.80877190618,8.83819406103,19.75,27.3,20.9727874627,21.75,20.2557806168,9.0819327459,14.4029794041,5.88769859327,66.5,7.2,25.7967807107,27.3199390588,25.1565083959,18.1108835072,12.4865962186,21.5269162322,24.6243021123,13.5076272374,30.4,23.0871158876,36.8854649597,4.15869341607,11.66,0.868103208112,54.7613335342,33.0647899762,13.6723349374,7.74153150986,13.8161461985,11.0346953268,21.8964750374,4.58008658009,31.8072336349,10.4665019153,23.4496204132,28.25,6.90127512442,13.4072316061,36.8942182405,47.3133761384,23.3944434201,5.71365427038,9.77629201327,33.5464153771,5.78325304642,39.7859298056,34.2148479373,61.8732717979,9.77748049799,178.969718342,55.8758931665,28.2520108989,24.9,52.1668675422,12.5521184209,107.50230252,22.9751149971,17.2835736356,9.17517780138,33.8935670304,17.7425,56.1477808555,13.7247718555,25.6983141277,42.4,8.06819120639,12.07333937,45.48,258.623810636,47.9230338033,56.2303426937,20.8177882275,4.7,11.6090526211,36.2493669715,15.5251774117,25.770581204,19.8729556742,31.3552186638,77.0,16.0768758116
2005-09-29,7.32489119768,12.0650499577,10.8977449117,24.3970913015,10.7478010696,32.7137851432,31.89,7.67036962461,19.5932955575,17.3945995219,14.9565684954,11.3343362762,17.6052992061,16.8708972867,16.2680581604,1.91817022055,25.8551788689,8.9480734154,8.97832869214,19.8,26.38,19.8947469856,21.705,20.745620363,9.44332453337,14.8432033593,6.24179367377,65.5,7.31,25.8992139251,27.4010873927,25.5203763674,18.2579857621,12.7928339423,21.8223113092,24.555061999,13.818950725,29.8,23.2486236939,37.3646607438,4.367124351,11.99,0.88572966919,55.5915209368,32.7103009519,13.7748774495,7.83147959092,13.9832021534,10.7827616435,22.1388231009,4.58874458874,32.5459910324,10.5957179883,23.6935594175,28.73,7.00020948809,13.328761187,37.5793141617,47.4332268574,23.4426392101,5.8538005072,9.93813130473,34.4535656036,5.75216028811,41.227517727,34.7696364521,62.2222880235,9.75367652843,178.017751755,56.6617707075,28.9377780277,24.84,53.2906952564,12.835553353,107.877659722,22.9383430461,17.1373572867,9.27844820088,34.3633514898,18.5875,57.6859515419,13.7781410267,25.6678342888,43.2,8.10433901646,11.68667251,44.48,257.30698879,48.8420626436,58.5195128255,20.8551016642,4.91,11.7999237153,36.0688507973,15.4544577424,25.6952286274,19.9996425994,32.1500080037,76.8,16.3666316838
2005-09-30,7.34302660545,12.2542438153,11.1151727122,24.3561565845,10.6790743535,33.0611138619,31.705,7.74588254027,19.4355965624,17.5074598594,14.9030885127,11.4139419825,17.796538878,17.070875595,16.3941671384,1.93563989469,26.4765316321,9.00543286037,8.87704326569,19.97,26.67,20.2083587608,21.735,20.9361135976,9.38833013093,15.2690721856,6.25567975535,66.4,7.59,26.3786013684,26.9791160567,25.6196130869,18.0589650642,12.6051398536,22.8146541458,24.3032797688,13.9396679957,35.0,23.537637663,37.1376732671,4.32742322054,12.1,0.900418386756,55.2578942236,33.7843705353,14.0141433109,7.81348997471,14.0141384413,10.5711373496,22.4794203794,4.61471861472,33.7862901492,10.4377872324,24.3309484288,29.4,6.99297038831,13.4408617857,37.5144103376,48.9544090598,23.6939318877,5.89332893297,10.070000357,34.5941738887,5.86616706859,42.3656134545,34.8303164459,61.0534895007,9.92625530776,177.358697964,57.5262360027,28.7703232637,25.74,52.1213069592,12.9732217486,109.435392108,23.0633676795,17.4478166578,9.34597115439,34.6673296695,18.35,58.4322828809,13.8670896453,25.0696674515,42.3,8.41521018301,11.7333392,44.92,260.730725591,48.1586822239,57.687087323,20.792912603,5.15,11.8817256128,36.4040951207,15.2334587757,25.7140667716,20.1009921396,32.1655921084,77.6,16.3605315601
2005-10-03,7.36116201322,11.8758561002,11.0130475332,23.9713702452,10.6790743535,33.4924121609,31.865,7.6064740806,19.5385836613,17.5356749438,14.9833084868,11.1864971074,17.5303032563,16.9663414793,16.1329413983,1.94063123016,26.4696277125,9.00543286037,8.94364190226,19.85,26.38,19.7967433059,22.145,20.9361135976,9.47474990619,15.4939692062,6.15500566384,67.0,7.61,26.2843628112,26.5625546097,25.2557451154,18.1714550239,13.0397998485,24.1485475401,25.0963937939,13.9396679957,35.2,23.3506286242,37.4907648975,4.45645189455,12.11,0.859289977573,55.4673807645,33.6937023238,14.0825049856,7.80749343597,13.9646403806,10.4031815607,22.8658672915,5.01298701299,33.9963954641,10.6072038615,24.4725904313,29.39,7.09190475198,13.3792064564,37.4999872656,48.4381290396,23.6216421615,5.88973543972,10.1718991702,35.8460412013,5.68306526963,41.3982320862,34.9170021514,60.9966729059,9.93815729254,176.113818581,57.5733886551,28.9537261004,25.5,52.5085719148,12.3658611799,111.950285358,22.9089254852,17.2675499262,9.40157829259,33.7070349656,20.575,57.1671602453,14.0271971589,25.3439860011,42.6,8.49473536515,11.78667256,44.04,263.188793037,47.8523392771,58.2905958123,20.3482608156,5.14,11.874908788,35.6906264324,15.2953384863,25.9589626456,19.4337743333,32.0097510614,78.8,16.3025803857
2005-10-04,7.35934847244,11.2798633218,10.5386596047,23.7175750001,10.6526410011,33.103098652,30.55,7.5774306515,18.7533070325,17.3381693531,14.9565684954,11.1637526199,17.3390635844,16.8027228634,15.9978246361,1.89820487868,26.1658552505,9.11195754389,8.7896325552,19.82,25.99,19.5909355785,21.31,20.6639804053,9.41189916055,15.1685862827,6.05780309273,67.6,7.56,25.9237978966,25.3074603796,24.9001468705,17.9983935475,12.4569603098,24.1716252805,25.3544705798,13.977789239,34.2,23.0191126007,36.7089191445,4.367124351,12.08,0.834319157711,54.4509831033,33.2891826105,13.5014307507,7.78350728102,14.0327002141,10.5744964653,21.8375255084,4.74458874459,33.3728571103,10.3487717154,23.8430704202,29.48,7.08707868546,13.3063410672,37.0961412489,47.8665333029,23.5390228726,5.90770290598,10.0999705962,34.4036723412,5.48441709151,39.2643025972,34.8909964397,58.2045431015,9.79533347517,171.500442045,55.3336376632,27.8852052253,25.92,50.405191666,12.4873332936,107.220784619,22.6588762183,16.512432617,9.15929004761,33.2303419112,19.7,57.0124330165,13.2889236242,24.2276619033,40.8,8.32845543886,12.0666727,43.16,257.482565036,46.3441893852,57.166821384,20.0031115261,5.16,11.7794732409,34.5817413626,14.3339929811,25.5633616183,19.0452677625,31.3863868732,79.8,16.1317769242
