,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-12-06,143.531204,143.718704,142.25,142.781204,95.1277772727,3138900,0.0000,1.0
1999-12-07,143.281204,143.3125,141.375,141.625,94.3574579764,10714200,0.0000,1.0
1999-12-08,141.343704,142.0625,140.5,140.718704,93.7536395352,4611400,0.0000,1.0
1999-12-09,141.8125,142.218704,139.375,141.406204,94.2116854477,6474700,0.0000,1.0
1999-12-10,142.281204,142.8125,140.875,141.875,94.5240201264,5127300,0.0000,1.0
1999-12-13,141.4375,142.718704,141.281204,142.125,94.6905822764,4210800,0.0000,1.0
1999-12-14,141.625,142.484299,140.625,140.75,93.7744904514,5739000,0.0000,1.0
1999-12-15,140.375,142.203094,140.031204,141.5,94.2741769014,6879100,0.0000,1.0
1999-12-16,142.1875,142.656204,141.156204,142.125,94.6905822764,5854900,0.0000,1.0
1999-12-17,143.0,143.3125,142.0625,142.6875,95.2969031474,4775400,0.3476,1.0
1999-12-20,142.5625,143.1875,141.093704,141.656204,94.6081300241,4608700,0.0000,1.0
1999-12-21,141.593704,144.0625,141.343704,143.8125,96.0482584941,7981300,0.0000,1.0
1999-12-22,143.625,144.1875,142.968704,144.1875,96.2987102764,5377500,0.0000,1.0
1999-12-23,145.015594,146.484299,145.0,146.484299,97.8326766844,5721700,0.0000,1.0
1999-12-27,146.5,146.781204,145.0625,146.281204,97.6970353385,2691000,0.0000,1.0
1999-12-28,145.875,146.5,145.484299,146.1875,97.6344531151,4084500,0.0000,1.0
1999-12-29,146.3125,146.8125,145.3125,146.8125,98.0518727521,3001000,0.0000,1.0
1999-12-30,147.125,147.5625,146.1875,146.640594,97.9370616479,3641300,0.0000,1.0
1999-12-31,146.843704,147.5,146.25,146.875,98.0936147159,3172700,0.0000,1.0
2000-01-03,148.25,148.25,143.875,145.4375,97.1335495506,8164300,0.0000,1.0
2000-01-04,143.531204,144.0625,139.640594,139.75,93.335030853,8089800,0.0000,1.0
2000-01-05,139.9375,141.531204,137.25,140.0,93.5019987079,12177900,0.0000,1.0
2000-01-06,139.625,141.5,137.75,137.75,91.9992880144,6227200,0.0000,1.0
2000-01-07,140.3125,145.75,140.0625,145.75,97.3422593691,8066500,0.0000,1.0
2000-01-10,146.25,146.906204,145.031204,146.25,97.6761950788,5741700,0.0000,1.0
2000-01-11,145.8125,146.093704,143.5,144.5,96.5074200949,7503700,0.0000,1.0
2000-01-12,144.593704,144.593704,142.875,143.0625,95.5473549296,6907700,0.0000,1.0
2000-01-13,144.468704,145.75,143.281204,145.0,96.8413558046,5158300,0.0000,1.0
2000-01-14,146.531204,147.468704,145.968704,146.968704,98.1561969393,7437300,0.0000,1.0
2000-01-18,145.343704,146.625,145.1875,145.8125,97.3840013328,6488500,0.0000,1.0
2000-01-19,145.3125,147.0,145.0,147.0,98.1770986433,6157900,0.0000,1.0
2000-01-20,146.968704,146.968704,143.8125,144.75,96.6743879498,5800100,0.0000,1.0
2000-01-21,145.5,145.5,144.0625,144.4375,96.4656781312,6244800,0.0000,1.0
2000-01-24,145.656204,145.843704,139.406204,140.343704,93.7315487862,7896900,0.0000,1.0
2000-01-25,140.515594,141.9375,139.0,141.9375,94.7959995829,9942500,0.0000,1.0
2000-01-26,141.0,141.546799,140.093704,140.8125,94.0446442361,5158100,0.0000,1.0
2000-01-27,141.843704,142.218704,138.125,140.25,93.6689665627,10922700,0.0000,1.0
2000-01-28,139.4375,140.0625,135.531204,135.875,90.7470291031,11916200,0.0000,1.0
2000-01-31,135.8125,139.671799,135.0,139.5625,93.2098049619,10768700,0.0000,1.0
2000-02-01,139.75,141.6875,138.531204,140.9375,94.1281281635,8419900,0.0000,1.0
2000-02-02,141.281204,142.25,140.375,141.0625,94.2116120909,6205900,0.0000,1.0
2000-02-03,140.875,143.25,140.0,143.1875,95.630838857,7997500,0.0000,1.0
2000-02-04,143.1875,144.0,142.125,142.593704,95.2342594797,4925400,0.0000,1.0
2000-02-07,142.5625,142.781204,141.4375,142.375,95.0881933288,5845800,0.0000,1.0
2000-02-08,143.968704,144.5625,143.625,144.3125,96.3821942038,4936400,0.0000,1.0
2000-02-09,144.468704,144.468704,141.265594,141.281204,94.3576782418,8511500,0.0000,1.0
2000-02-10,141.625,142.5625,140.875,141.5625,94.5455478006,6690600,0.0000,1.0
2000-02-11,141.843704,141.9375,138.031204,138.6875,92.62541747,9849800,0.0000,1.0
2000-02-14,139.781204,139.781204,138.3125,139.5,93.1680629982,8528800,0.0000,1.0
2000-02-15,139.25,141.218704,137.796799,141.078094,94.2220268778,11078300,0.0000,1.0
2000-02-16,140.375,140.9375,138.796799,139.0,92.8341272885,8845400,0.0000,1.0
2000-02-17,140.4375,140.4375,138.218704,138.281204,92.3540639838,7584200,0.0000,1.0
2000-02-18,138.875,138.875,134.625,135.3125,90.3713514297,9409200,0.0000,1.0
2000-02-22,135.1875,136.343704,133.531204,134.968704,90.1417399072,16415400,0.0000,1.0
2000-02-23,135.625,137.468704,134.5,136.5625,91.2061907039,12119000,0.0000,1.0
2000-02-24,136.6875,137.031204,133.093704,133.8125,89.3695443007,17375000,0.0000,1.0
2000-02-25,135.1875,136.718704,133.125,133.328094,89.0460233779,10559900,0.0000,1.0
2000-02-28,133.375,136.6875,132.718704,136.125,90.9139969579,13397800,0.0000,1.0
2000-02-29,136.0625,137.4375,135.75,137.4375,91.7905781958,8242500,0.0000,1.0
2000-03-01,137.625,139.0,137.218704,138.4375,92.4584496152,6868000,0.0000,1.0
2000-03-02,138.6875,139.125,137.343704,138.531204,92.5210318386,7600200,0.0000,1.0
2000-03-03,140.4375,141.718704,139.718704,141.125,94.2533540546,12770300,0.0000,1.0
2000-03-06,140.8125,141.343704,138.75,139.75,93.335030853,11967100,0.0000,1.0
2000-03-07,140.0,140.156204,135.218704,137.046799,91.5296401644,20062000,0.0000,1.0
2000-03-08,136.468704,137.843704,135.031204,136.875,91.4149005224,11808500,0.0000,1.0
2000-03-09,137.25,140.875,136.125,140.875,94.0863861998,5500900,0.0000,1.0
2000-03-10,140.1875,142.0,139.531204,140.125,93.5854826353,7924600,0.0000,1.0
2000-03-13,136.6875,140.468704,135.6875,138.593704,92.5627738023,10540500,0.0000,1.0
2000-03-14,139.281204,140.093704,136.156204,136.625,91.2479326676,8263900,0.0000,1.0
2000-03-15,136.875,140.4375,136.0625,139.8125,93.3767728168,10300800,0.0000,1.0
2000-03-16,141.625,146.843704,140.875,146.343704,97.7387773022,25601400,0.0000,1.0
2000-03-17,145.8125,148.0,145.4375,146.9375,98.3830187629,10272900,0.3708,1.0
2000-03-20,146.875,147.343704,144.781204,146.1875,97.8808510789,12502300,0.0000,1.0
2000-03-21,145.531204,149.75,144.5,149.1875,99.889521815,13612600,0.0000,1.0
2000-03-22,149.5625,150.843704,148.6875,150.093704,100.496276967,8260000,0.0000,1.0
2000-03-23,149.156204,153.468704,149.156204,152.656204,102.212016554,11654500,0.0000,1.0
2000-03-24,152.875,155.75,151.718704,153.5625,102.818833305,11462900,0.0000,1.0
2000-03-27,153.375,153.781204,151.8125,151.9375,101.730803323,8798600,0.0000,1.0
2000-03-28,151.25,152.984299,150.593704,151.0625,101.144941025,6334400,0.0000,1.0
2000-03-29,151.5625,152.484299,149.656204,151.218704,101.249528493,6747500,0.0000,1.0
2000-03-30,150.156204,151.921799,147.125,148.6875,99.554743359,9491900,0.0000,1.0
2000-03-31,149.625,152.3125,148.4375,150.375,100.684620648,9249100,0.0000,1.0
2000-04-03,150.125,151.25,148.6875,151.25,101.270482946,8508200,0.0000,1.0
2000-04-04,151.75,153.0,141.390594,150.125,100.51723142,19585500,0.0000,1.0
2000-04-05,147.875,150.8125,147.625,149.1875,99.889521815,8387200,0.0000,1.0
2000-04-06,150.25,151.6875,149.0,150.484299,100.757802549,6378500,0.0000,1.0
2000-04-07,151.5625,152.125,150.5,151.4375,101.396024867,6023600,0.0000,1.0
2000-04-10,151.75,153.109299,150.3125,150.843704,100.998444651,9624200,0.0000,1.0
2000-04-11,150.0,151.625,148.375,150.406204,100.705513502,9006400,0.0000,1.0
2000-04-12,150.375,151.156204,146.156204,146.281204,97.9435912398,10779200,0.0000,1.0
2000-04-13,147.468704,148.156204,143.781204,144.25,96.5835845618,12225800,0.0000,1.0
2000-04-14,142.625,142.8125,133.5,136.0,91.0597400375,29604000,0.0000,1.0
2000-04-17,135.1875,140.75,134.6875,140.75,94.2401353696,23918200,0.0000,1.0
2000-04-18,140.5625,144.468704,139.781204,144.468704,96.7300193367,11069200,0.0000,1.0
2000-04-19,144.5,145.125,142.531204,143.125,95.8303330357,6553700,0.0000,1.0
2000-04-20,143.5625,143.9375,142.375,143.8125,96.2906534128,8537600,0.0000,1.0
2000-04-24,141.5,143.3125,140.5,142.25,95.2444707377,12893100,0.0000,1.0
2000-04-25,144.625,148.156204,144.4375,148.156204,99.1990104498,14102000,0.0000,1.0
2000-04-26,147.968704,148.75,146.0,146.484299,98.0795749008,7711100,0.0000,1.0
2000-04-27,143.0,147.343704,143.0,146.0,97.7553091579,15595300,0.0000,1.0
2000-04-28,147.0,147.859299,145.0625,145.093704,97.1484924067,8743400,0.0000,1.0
2000-05-01,146.5625,148.484299,145.843704,147.0625,98.4667133769,7328300,0.0000,1.0
2000-05-02,145.5,147.125,144.125,144.125,96.4998899478,9411900,0.0000,1.0
2000-05-03,144.0,144.0,139.781204,140.75,94.2401353696,12630700,0.0000,1.0
2000-05-04,142.0,142.359299,140.75,141.8125,94.9515395887,5963600,0.0000,1.0
2000-05-05,141.0625,144.0,140.9375,143.531204,96.1023097316,7862400,0.0000,1.0
2000-05-08,142.75,143.375,141.843704,142.453094,95.3804537292,5064100,0.0000,1.0
2000-05-09,143.0625,143.406204,140.265594,141.3125,94.6167611327,5620300,0.0000,1.0
2000-05-10,140.5,140.968704,137.75,138.125,92.4825484755,10293900,0.0000,1.0
2000-05-11,140.125,141.5,139.125,141.281204,94.5958066796,7091100,0.0000,1.0
2000-05-12,141.8125,143.468704,141.625,142.8125,95.6210965007,5960800,0.0000,1.0
2000-05-15,142.75,145.609299,142.0,145.281204,97.2740343277,4441300,0.0000,1.0
2000-05-16,146.5625,147.718704,145.3125,146.6875,98.2156295349,8192200,0.0000,1.0
2000-05-17,145.6875,146.1875,144.468704,145.156204,97.1903397137,5907200,0.0000,1.0
2000-05-18,145.625,146.3125,143.375,143.375,95.9977222638,4325600,0.0000,1.0
2000-05-19,142.5625,143.234299,140.406204,141.125,94.4912192117,6518400,0.0000,1.0
2000-05-22,141.25,141.468704,137.0,140.0625,93.7798149926,10839400,0.0000,1.0
2000-05-23,140.4375,140.8125,137.5625,138.0,92.3988538615,7979200,0.0000,1.0
2000-05-24,138.0,140.6875,136.5,140.25,93.9053569136,11081500,0.0000,1.0
2000-05-25,140.6875,141.8125,137.718704,137.843704,92.2942047944,8278900,0.0000,1.0
2000-05-26,138.8125,139.6875,137.328094,138.0,92.3988538615,4814000,0.0000,1.0
2000-05-30,140.0,142.9375,139.468704,142.5,95.4118599657,5362700,0.0000,1.0
2000-05-31,142.5625,144.0,142.093704,142.8125,95.6210965007,6056500,0.0000,1.0
2000-06-01,143.6875,145.4375,143.0,145.3125,97.2949887808,8961600,0.0000,1.0
2000-06-02,148.9375,149.093704,147.484299,147.843704,98.9897739148,8962200,0.0000,1.0
2000-06-05,147.468704,148.218704,146.875,147.125,98.5085606839,6998100,0.0000,1.0
2000-06-06,146.625,147.781204,145.906204,146.468704,98.0691331608,4858900,0.0000,1.0
2000-06-07,146.625,148.0,146.0,147.484299,98.7491318128,4919500,0.0000,1.0
2000-06-08,147.5,147.75,146.0625,146.906204,98.3620643098,5723100,0.0000,1.0
2000-06-09,147.5,147.968704,145.625,146.593704,98.1528277748,3085300,0.0000,1.0
2000-06-12,146.968704,146.968704,144.875,144.875,97.0020576318,3678900,0.0000,1.0
2000-06-13,144.8125,147.75,144.625,147.593704,98.8223846868,6558700,0.0000,1.0
2000-06-14,148.25,148.875,147.1875,147.843704,98.9897739148,6420500,0.0000,1.0
2000-06-15,148.125,148.75,146.843704,148.156204,99.1990104498,5881200,0.0000,1.0
2000-06-16,148.3125,148.3125,145.875,146.593704,98.3861067594,5567900,0.3484,1.0
2000-06-19,146.468704,149.156204,146.25,148.468704,99.6445097135,5106900,0.0000,1.0
2000-06-20,148.1875,148.875,147.0,147.9375,99.2879930827,6480000,0.0000,1.0
2000-06-21,146.9375,148.4375,146.890594,147.875,99.2460463175,3115000,0.0000,1.0
2000-06-22,147.5625,147.6875,145.0,145.625,97.7359627725,7490500,0.0000,1.0
2000-06-23,145.8125,146.125,143.875,144.375,96.8970274698,4863300,0.0000,1.0
2000-06-26,145.375,146.25,144.875,146.234299,98.1448927254,5201300,0.0000,1.0
2000-06-27,145.984299,146.718704,145.015594,145.156204,97.4213311612,4159500,0.0000,1.0
2000-06-28,145.625,146.984299,145.3125,145.5625,97.6940160074,5347700,0.0000,1.0
2000-06-29,144.75,145.75,143.515594,144.1875,96.7711871744,6345700,0.0000,1.0
2000-06-30,143.9375,145.593704,143.890594,145.281204,97.5052246915,7420200,0.0000,1.0
2000-07-03,145.4375,147.4375,145.1875,147.281204,98.8475211759,1436600,0.0000,1.0
2000-07-05,146.375,146.656204,144.375,144.625,97.0648145303,2748200,0.0000,1.0
2000-07-06,144.9375,146.468704,144.218704,145.75,97.8198563028,5963200,0.0000,1.0
2000-07-07,146.6875,148.781204,146.25,148.093704,99.3928291227,3034800,0.0000,1.0
2000-07-10,147.875,148.906204,147.531204,147.843704,99.2250420621,2816100,0.0000,1.0
2000-07-11,147.468704,149.125,147.156204,148.156204,99.4347758878,5431600,0.0000,1.0
2000-07-12,149.281204,150.125,148.6875,149.125,100.08498162,5883000,0.0000,1.0
2000-07-13,149.984299,150.375,149.1875,149.781204,100.525391781,5356000,0.0000,1.0
2000-07-14,150.4375,151.25,149.671799,151.25,101.511171635,5341900,0.0000,1.0
2000-07-17,150.984299,151.984299,150.6875,151.0,101.343384574,4208300,0.0000,1.0
2000-07-18,150.625,150.625,149.343704,149.765594,100.514915157,4262100,0.0000,1.0
2000-07-19,149.468704,149.906204,148.25,148.5625,99.7074607341,8506800,0.0000,1.0
2000-07-20,149.0,150.625,148.8125,150.625,101.091703984,4538900,0.0000,1.0
2000-07-21,149.75,149.75,147.6875,147.6875,99.1202060221,5656900,0.0000,1.0
2000-07-24,148.125,148.859299,146.5625,146.843704,98.5538938199,5628500,0.0000,1.0
2000-07-25,147.75,147.843704,146.781204,147.3125,98.8685254313,4757100,0.0000,1.0
2000-07-26,146.968704,147.156204,145.640594,145.875,97.9037498331,12062500,0.0000,1.0
2000-07-27,145.9375,146.625,144.6875,145.375,97.568175712,7652600,0.0000,1.0
2000-07-28,145.718704,145.906204,141.515594,142.093704,95.3659396694,6229500,0.0000,1.0
2000-07-31,142.9375,144.125,142.0625,143.0,95.9741986367,5265500,0.0000,1.0
2000-08-01,143.625,144.718704,143.125,143.875,96.5614533487,3946600,0.0000,1.0
2000-08-02,143.875,145.406204,143.625,144.593704,97.0438102749,7439800,0.0000,1.0
2000-08-03,142.875,145.8125,142.625,145.593704,97.7149585172,4607100,0.0000,1.0
2000-08-04,146.3125,146.718704,145.406204,146.375,98.2393239542,3686600,0.0000,1.0
2000-08-07,146.718704,148.4375,146.375,148.125,99.4138333781,4159800,0.0000,1.0
2000-08-08,147.5,148.8125,147.5,148.6875,99.7913542643,3658700,0.0000,1.0
2000-08-09,149.140594,149.218704,147.375,147.4375,98.9524189616,5383800,0.0000,1.0
2000-08-10,147.531204,147.859299,146.281204,146.718704,98.4700002897,4193400,0.0000,1.0
2000-08-11,146.625,148.0,145.5625,147.406204,98.9314147062,5089400,0.0000,1.0
2000-08-14,147.781204,149.5625,147.0625,149.281204,100.18981766,2966700,0.0000,1.0
2000-08-15,149.343704,149.8125,148.5625,149.156204,100.10592413,5564600,0.0000,1.0
2000-08-16,149.3125,149.9375,147.843704,148.625,99.7494074992,5191600,0.0000,1.0
2000-08-17,148.6875,150.4375,148.343704,150.1875,100.798076628,5652200,0.0000,1.0
2000-08-18,150.375,150.375,149.218704,149.6875,100.462502507,4626400,0.0000,1.0
2000-08-21,150.031204,150.718704,149.406204,150.5,101.007810453,2380600,0.0000,1.0
2000-08-22,150.5625,151.3125,150.093704,150.25,100.840023393,3075300,0.0000,1.0
2000-08-23,149.8125,151.281204,149.281204,150.843704,101.238486789,5483200,0.0000,1.0
2000-08-24,151.156204,151.5,150.5,151.3125,101.5531184,4529000,0.0000,1.0
2000-08-25,151.156204,151.625,150.9375,151.25,101.511171635,2822200,0.0000,1.0
2000-08-28,151.25,152.906204,151.25,151.765594,101.857211642,5518700,0.0000,1.0
2000-08-29,151.4375,151.875,150.906204,151.796799,101.878154823,3561900,0.0000,1.0
2000-08-30,151.3125,151.5,150.343704,150.343704,100.902912668,3964800,0.0000,1.0
2000-08-31,151.0625,153.093704,150.906204,152.343704,102.245209152,4863100,0.0000,1.0
2000-09-01,153.25,153.593704,152.0,152.5,102.350106938,3191200,0.0000,1.0
2000-09-05,151.875,152.203094,150.8125,151.281204,101.532114145,3470800,0.0000,1.0
2000-09-06,151.1875,151.953094,149.531204,149.5625,100.378608976,4322200,0.0000,1.0
2000-09-07,150.25,151.078094,149.828094,150.843704,101.238486789,4265500,0.0000,1.0
2000-09-08,150.281204,150.5,149.328094,149.8125,100.546396037,3518200,0.0000,1.0
2000-09-11,149.75,151.1875,148.6875,149.593704,100.399551486,3937500,0.0000,1.0
2000-09-12,149.75,150.25,148.4375,148.5,99.6655139689,4769100,0.0000,1.0
2000-09-13,148.0,149.343704,147.656204,148.890594,99.9276604454,7691600,0.0000,1.0
2000-09-14,149.875,149.9375,148.156204,149.640594,100.431021627,3397100,0.0000,1.0
2000-09-15,148.1875,148.25,146.0,146.0,98.2395380505,4085700,0.3753,1.0
2000-09-18,146.375,146.968704,144.203094,144.656204,97.3353332678,5109300,0.0000,1.0
2000-09-19,145.125,146.3125,144.703094,145.968704,98.2184797999,6588200,0.0000,1.0
2000-09-20,145.6875,146.031204,143.156204,144.890594,97.4930480988,6508100,0.0000,1.0
2000-09-21,144.468704,145.5625,142.625,142.6875,96.0106444218,5972300,0.0000,1.0
2000-09-22,142.625,145.3125,142.421799,145.281204,97.7558792355,7791300,0.0000,1.0
2000-09-25,145.9375,146.0625,143.718704,144.25,97.062009341,9726300,0.0000,1.0
2000-09-26,144.375,145.0,142.406204,142.406204,95.8213677841,5302400,0.0000,1.0
2000-09-27,143.5625,143.968704,142.125,143.156204,96.3260229454,7186200,0.0000,1.0
2000-09-28,143.1875,146.328094,142.890594,145.0,97.5666645022,7036400,0.0000,1.0
2000-09-29,145.468704,145.968704,143.625,143.625,96.6414633733,9333600,0.0000,1.0
2000-10-02,144.281204,144.906204,143.140594,143.843704,96.7886235098,5517800,0.0000,1.0
2000-10-03,144.531204,145.75,142.281204,142.5,95.8844806315,9347200,0.0000,1.0
2000-10-04,142.875,144.25,141.75,143.6875,96.6835179701,6148900,0.0000,1.0
2000-10-05,143.406204,144.843704,143.3125,144.1875,97.0199547442,4566900,0.0000,1.0
2000-10-06,143.875,144.640594,139.75,141.0625,94.9172249058,10014900,0.0000,1.0
2000-10-09,141.3125,141.3125,139.375,140.0,94.2022967608,4508000,0.0000,1.0
2000-10-10,140.093704,141.25,137.6875,137.6875,92.6462766803,6104700,0.0000,1.0
2000-10-11,137.625,138.625,135.125,136.531204,91.8682356879,10346000,0.0000,1.0
2000-10-12,137.281204,137.593704,132.781204,133.125,89.5762911163,12336900,0.0000,1.0
2000-10-13,132.9375,137.656204,132.875,137.5625,92.5621674868,11778800,0.0000,1.0
2000-10-16,137.406204,138.234299,136.6875,138.1875,92.9827134545,5659000,0.0000,1.0
2000-10-17,138.4375,138.5625,134.406204,134.75,90.6697106322,7831700,0.0000,1.0
2000-10-18,132.625,136.125,130.156204,134.25,90.3332738581,10897300,0.0000,1.0
2000-10-19,136.843704,139.453094,136.4375,139.3125,93.7396961963,8767300,0.0000,1.0
2000-10-20,138.375,141.1875,138.375,139.906204,94.1391839134,7373500,0.0000,1.0
2000-10-23,139.9375,141.031204,138.9375,140.531204,94.5597298811,5290000,0.0000,1.0
2000-10-24,140.968704,141.9375,139.0,139.593704,93.9289109296,5750700,0.0000,1.0
2000-10-25,138.75,139.5625,136.125,136.3125,91.7210755514,9137600,0.0000,1.0
2000-10-26,137.125,137.656204,134.031204,136.6875,91.973403132,9345800,0.0000,1.0
2000-10-27,137.875,139.281204,136.625,139.281204,93.7186379457,9762900,0.0000,1.0
2000-10-30,138.4375,141.093704,138.156204,140.531204,94.5597298811,10154100,0.0000,1.0
2000-10-31,141.015594,143.6875,140.0625,142.953094,96.189355599,7752400,0.0000,1.0
2000-11-01,142.25,143.25,141.218704,142.468704,95.8634223809,6753600,0.0000,1.0
2000-11-02,143.156204,143.906204,142.515594,142.703094,96.0211372119,11395100,0.0000,1.0
2000-11-03,143.468704,143.75,142.375,142.781204,96.0736953648,5187100,0.0000,1.0
2000-11-06,143.156204,144.296799,143.031204,143.781204,96.746568913,4042500,0.0000,1.0
2000-11-07,143.140594,144.0,142.5625,143.75,96.7255725668,5231300,0.0000,1.0
2000-11-08,144.0625,144.0625,140.5625,140.5625,94.5807881317,6123300,0.0000,1.0
2000-11-09,140.0,141.218704,137.25,140.031204,94.223293107,10635300,0.0000,1.0
2000-11-10,139.0,139.468704,136.531204,136.625,91.9313485353,8569500,0.0000,1.0
2000-11-13,135.625,136.984299,133.015594,135.5625,91.2164203902,17285300,0.0000,1.0
2000-11-14,137.468704,139.625,137.0,139.125,93.613532406,7668900,0.0000,1.0
2000-11-15,139.0625,140.109299,137.75,139.5625,93.9079145834,8837700,0.0000,1.0
2000-11-16,138.578094,139.875,137.3125,137.375,92.4360036965,6684100,0.0000,1.0
2000-11-17,137.3125,139.0,135.75,136.640594,91.9418413254,6551100,0.0000,1.0
2000-11-20,135.75,136.375,134.3125,134.6875,90.6276560355,5458500,0.0000,1.0
2000-11-21,134.875,136.1875,133.515594,135.375,91.0902565999,7684300,0.0000,1.0
2000-11-22,134.343704,134.875,132.125,132.140594,88.9139103581,5736900,0.0000,1.0
2000-11-24,133.625,134.968704,133.625,134.843704,90.7327615752,3411600,0.0000,1.0
2000-11-27,136.468704,136.6875,135.3125,136.031204,91.5317989138,5992000,0.0000,1.0
2000-11-28,135.125,136.593704,133.640594,133.6875,89.9547824872,5336100,0.0000,1.0
2000-11-29,134.375,135.906204,133.265594,133.4375,89.7865641001,6914100,0.0000,1.0
2000-11-30,132.5,133.5,129.75,132.281204,89.0085231077,11201600,0.0000,1.0
2000-12-01,133.1875,134.0625,131.0,132.218704,88.9664685109,7587200,0.0000,1.0
2000-12-04,131.875,133.875,131.5,133.343704,89.7234512528,6996600,0.0000,1.0
2000-12-05,134.875,138.25,134.406204,137.718704,92.6672730265,8883400,0.0000,1.0
2000-12-06,137.781204,138.343704,135.031204,135.515594,91.1848585836,12888000,0.0000,1.0
2000-12-07,134.875,135.875,133.656204,133.656204,89.9337242366,6529100,0.0000,1.0
2000-12-08,137.0625,139.468704,133.875,133.968704,90.1439972204,10276300,0.0000,1.0
2000-12-11,137.375,139.5625,136.718704,138.625,93.2770956319,6405600,0.0000,1.0
2000-12-12,138.1875,138.8125,137.375,138.031204,92.8775460104,5022900,0.0000,1.0
2000-12-13,139.25,139.406204,136.031204,136.140594,91.6054045512,6070500,0.0000,1.0
2000-12-14,135.875,136.5,134.031204,134.406204,90.4383793978,7678400,0.0000,1.0
2000-12-15,133.125,133.125,130.5625,130.968704,88.4021496522,9065300,0.4113,1.0
2000-12-18,132.0625,133.468704,131.765594,132.718704,89.5833765955,7235400,0.0000,1.0
2000-12-19,132.468704,134.968704,130.015594,130.015594,87.7588129597,9616600,0.0000,1.0
2000-12-20,128.625,128.9375,126.093697,126.25,85.2170866224,9994300,0.0000,1.0
2000-12-21,126.0,128.859299,125.531197,127.125,85.807700094,14331500,0.0000,1.0
2000-12-22,129.0,131.109299,128.843704,130.9375,88.3810873633,10182900,0.0000,1.0
2000-12-26,130.843704,132.343704,130.281204,132.343704,89.3302565362,4665300,0.0000,1.0
2000-12-27,131.75,133.734299,131.25,133.3125,89.984181072,4854100,0.0000,1.0
2000-12-28,132.8125,133.875,132.593704,133.718704,90.2583634202,8358700,0.0000,1.0
2000-12-29,134.0625,134.281204,131.1875,131.1875,88.5498340695,8774600,0.0000,1.0
2001-01-02,132.0,132.156204,127.5625,128.8125,86.9467403608,8737500,0.0000,1.0
2001-01-03,128.3125,136.0,127.656197,135.0,91.1232213388,19431600,0.0000,1.0
2001-01-04,134.9375,135.468704,133.0,133.546799,90.1423298101,9219000,0.0000,1.0
2001-01-05,133.468704,133.625,129.1875,129.1875,87.19986042,12911400,0.0000,1.0
2001-01-08,129.875,130.1875,127.6875,130.1875,87.8748472448,6625300,0.0000,1.0
2001-01-09,131.046799,131.5,129.421799,129.843704,87.6427894744,5702400,0.0000,1.0
2001-01-10,129.0,132.125,128.8125,132.125,89.1826342177,8746100,0.0000,1.0
2001-01-11,131.093704,133.484299,131.093704,132.25,89.2670075708,7245100,0.0000,1.0
2001-01-12,132.6875,133.718704,131.281204,132.0,89.0982608646,7244000,0.0000,1.0
2001-01-16,132.0,133.1875,131.515594,132.843704,89.6677499486,8542200,0.0000,1.0
2001-01-17,134.843704,135.046799,132.640594,133.453094,90.0790801697,7851400,0.0000,1.0
