,BRK.B,JPM,BAC,WFC,MS,C,GS,BLK,SCHW,SPGI,AXP,PNC,MMC,TFC,CB,XLF,SPY
2019-09-06,204.73,105.156599782,26.4780415759,44.3172091306,39.7157719993,61.0205275501,198.767883819,404.353026466,38.6196833971,262.885276148,116.285464043,122.081091669,97.2433261164,44.8376900288,153.349140929,26.1211423776,26.1211423776
2019-09-09,206.62,107.761936017,27.3374082336,45.5015078263,40.5914398029,63.628953921,203.343545253,411.050424587,39.7811776346,256.022276781,116.024235361,126.316671604,96.2411156402,46.3470047178,152.615868629,26.5209557813,26.5209557813
2019-09-10,208.31,109.134640054,28.0249015598,45.4075158663,41.0339815962,63.8046989602,206.844837546,408.655770843,40.6039027195,247.765077258,113.499024769,127.799587992,94.5161572243,47.1568808924,151.720705041,26.6161494489,26.6161494489
2019-09-11,210.91,109.433459981,28.1299352624,45.9150724502,41.3729497783,63.7307010489,207.967169596,412.939434314,41.3879113298,247.421436374,114.166609178,126.047893008,95.1425387719,47.9759602053,152.120671751,26.7684593169,26.7684593169
2019-09-12,211.37,110.105804816,28.3304541492,45.7270885303,41.730749526,64.1006906051,209.828130431,414.771201321,41.6879640079,247.303616643,115.153473088,127.132275617,96.0580194954,48.5833673362,152.463500358,26.9112498183,26.9112498183
2019-09-13,213.61,112.272249283,28.8078800701,45.9808668222,42.5216752842,65.1089121457,210.940869899,422.603913369,42.2203155334,245.526502357,115.327625543,129.087871604,96.2122057226,48.8318520716,151.38739945,27.1206758869,27.1206758869
2019-09-16,210.33,111.273070154,28.7696859965,46.0372619982,42.1356281879,64.590926767,208.370058024,415.687084825,42.2009572961,244.966858632,113.818304269,130.21859535,96.3953018673,48.7030081348,150.987432741,27.0254822193,27.0254822193
2019-09-17,210.15,110.722120914,28.5882641465,45.8304796862,41.6271759148,64.2671859054,207.113429831,418.997622073,41.7266804824,251.466580493,115.182498497,129.050798695,97.7733412722,48.5557579212,152.101625717,27.0540403196,27.0540403196
2019-09-18,210.9,111.833357516,28.645555257,45.9902660182,41.7684126574,64.8314199785,208.235761881,422.794722432,41.8428299062,250.062562024,114.88256927,130.86737127,97.9275274993,48.8778677634,151.882596328,27.1492339872,27.1492339872
2019-09-19,209.22,111.478508853,28.4736819255,45.9714676262,41.448276041,64.498429378,206.461134281,423.577039592,41.5427772282,252.065497462,113.963431314,130.682006722,98.5249991294,48.5833673362,151.654043923,27.0254822193,27.0254822193
2019-09-20,208.12,111.030278964,28.2540660018,45.7082901383,41.1187236417,64.1469392996,205.031839619,423.968198172,41.4072695671,248.18726463,113.005592814,130.570787993,97.2336894772,48.2428512174,150.869461488,26.8677206099,26.8677206099
2019-09-23,207.96,111.011602718,28.1872263729,46.0184636062,41.0151500305,64.3319340777,204.763247334,425.695020194,41.2136871942,247.873078679,114.398812451,130.86737127,97.4456955395,48.3808982926,150.898165723,26.9155619928,26.9155619928
2019-09-24,206.4,109.564193699,27.6334123046,45.7270885303,40.0547401813,62.8057271585,199.285883227,421.802515303,40.4490368212,247.205433533,114.331086496,130.00542612,96.877133827,47.8931319602,151.979358591,26.6572185254,26.6572185254
2019-09-25,208.11,110.18984792,27.9294163756,46.3004394861,40.5255293231,64.1746885163,201.472991837,424.731434425,40.4587159398,249.954560604,115.250224452,130.042499029,96.7422208783,48.6385861663,151.931518199,26.8772888865,26.8772888865
2019-09-26,206.9,109.284050018,27.8148341546,45.9338708422,40.130066444,63.9249455659,199.736734563,425.504211131,39.577916143,251.348760761,115.047046588,129.847866253,96.6265812079,48.7030081348,153.529387305,26.7529012911,26.7529012911
2019-09-27,207.45,109.928380484,28.0249015598,47.6633229058,40.3372136664,64.2486864276,200.456178185,425.628237022,40.0812303126,241.874090678,114.737442224,130.116644849,96.135112609,49.1999776055,153.577227698,26.8581523333,26.8581523333
2019-09-30,208.02,109.900366116,27.8530282282,47.4095446139,40.1771453582,63.8971963492,198.787068982,425.160754817,40.4877532958,240.528982075,114.437512997,129.903475618,96.4145751457,49.1171493604,154.467058996,26.7911743974,26.7911743974
2019-10-01,206.71,107.902007857,27.1559863836,46.1124555662,38.9625093724,63.0369706311,194.432036925,413.759913286,36.5483520069,238.437681839,112.90884145,127.160080299,94.7281632865,48.1692261106,151.778428943,26.2266460797,26.2266460797
2019-10-02,203.1,105.754239635,26.5830752785,45.5579030023,37.8796943464,61.2887699783,190.172930684,401.042489218,35.3384621761,232.144144509,109.193589083,125.769846185,92.5888293853,47.0004275405,150.03703866,25.6908225917,25.6908225917
2019-10-03,204.98,105.604829672,26.5544297233,45.5673021983,37.8985259121,61.6957584901,189.20407994,400.32695523,33.9737064471,235.266367397,109.30969072,126.72447361,93.0321147882,46.7611459434,149.692587834,25.796073634,25.796073634
2019-10-04,208.08,107.89219696,27.0891467547,46.2534435061,38.3975624023,63.0647198479,192.619038998,407.797130058,34.5254162099,239.998793283,111.116141406,130.190790668,94.7859831217,47.543412703,155.060279862,26.2744874625,26.2744874625
2019-10-07,207.24,107.656871108,27.0318556442,45.8774756662,38.303404574,63.0369706311,192.235335733,403.723356557,34.3124755997,241.118080733,110.378021771,129.708842842,94.0825084605,47.4881938729,152.763941027,26.1405315906,26.1405315906
2019-10-08,204.09,105.25654741,26.3825563917,44.9469552624,37.4936472501,61.4182663229,189.328783501,394.173362939,34.0995349895,237.455850742,109.299978619,126.214721102,91.7889883321,46.9175992953,148.764484222,25.6238446558,25.6238446558
2019-10-09,206.69,106.019003173,26.6308178706,45.2571287304,38.0774257859,62.3709894301,188.829969257,397.999084658,34.5254162099,244.269758554,110.640248483,126.566913744,92.1455439823,46.9268024337,150.027470581,25.86305157,25.86305157
2019-10-10,206.86,107.506262562,27.1655349021,45.7270885303,38.6517885389,63.4717083596,191.726928907,401.061570124,34.9803347862,246.410150345,111.708579534,128.290804046,93.1718460566,47.2397091375,148.678371516,26.130963314,26.130963314
2019-10-11,208.08,109.322978145,27.6047667493,46.2534435061,39.4803774284,64.8406697174,196.340960668,414.055667334,36.0837543119,248.39344916,113.048849398,130.125913076,94.0045155734,47.8563194068,148.40089724,26.4562847174,26.4562847174
2019-10-14,207.91,109.614782202,27.824382673,46.3098386821,39.7816824791,64.9701660621,197.434514973,414.25601685,36.5096355323,246.802882783,113.039137298,130.237131805,94.0335621845,47.8379131301,148.726211908,26.4945578237,26.4945578237
2019-10-15,209.38,112.918757175,28.3877452597,47.099371146,40.0453243985,65.8766404747,198.048440197,424.025440891,38.4648174988,248.845091464,114.204589354,131.488342508,94.5757655908,48.5373516445,148.506146103,26.8772888865,26.8772888865
2019-10-16,209.29,112.65519222,28.8078800701,46.6106129541,40.2901347522,64.2856853832,198.969328033,425.885829258,37.7679209563,247.715985703,114.029771545,132.174191337,95.0792401824,48.7674301032,147.970333708,26.8103109505,26.8103109505
2019-10-17,208.62,113.285865505,28.8938167359,46.6294113461,40.9021606365,64.3781827722,198.048440197,429.959602759,38.184123058,248.403267471,115.671116524,133.295420163,95.3212952745,48.2612574941,146.410736916,26.8294475036,26.8294475036
2019-10-18,208.76,113.483539221,28.9797534017,46.967782402,41.1093078589,64.5076791169,198.105995687,424.588327627,38.6583998717,245.929053107,113.398485015,134.098967487,95.9022274956,48.4729296761,146.094990326,26.8964254396,26.8964254396
