,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
EQT-TGNA,,,,,,,,,
EQT-MAC,,,,,,,,,
EQT-CACI,2466.042173475944,2472.4836025996556,2471.073001675949,33.18776261150101,0.6063867000419448,0.9859163493533074,0.81849153438095,0.10235133649310006,0.9847103303599376
EQT-EBIX,,,,,,,,,
EQT-RGR,,,,,,,,,
EQT-LAZ,,,,,,,,,
EQT-SFNC,,,,,,,,,
EQT-HLX,,,,,,,,,
EQT-AUB,,,,,,,,,
EQT-FUL,,,,,,,,,
EQT-TILE,,,,,,,,,
EQT-WNC,22.961743919631772,25.54042053662363,29.19626602873052,-2.6723472108528084,0.19117996113114455,0.9989769721306422,0.24388982097973452,0.02084906760796125,0.9927489125816888
ALE-GCO,,,,,,,,,
ALE-CRS,,,,,,,,,
ALE-SCHN,,,,,,,,,
ALE-AMG,,,,,,,,,
ALE-LANC,,,,,,,,,
ALE-ON,,,,,,,,,
ALE-SLG,,,,,,,,,
ALE-SWM,,,,,,,,,
ALE-TCBI,,,,,,,,,
ALE-PNW,,,,,,,,,
ALE-NWBI,,,,,,,,,
ALE-NJR,,,,,,,,,
ALE-GFF,,,,,,,,,
ALE-KOP,1907.7564483327083,1911.4641579615504,1912.5354486203212,-2.3898876025687024,1.3867553636839633,0.9876134716633034,0.6038334807426898,0.16028138365393926,0.9345603350599031
ALE-JNPR,,,,,,,,,
ALE-HA,,,,,,,,,
ALE-CVI,,,,,,,,,
ALE-ISBC,,,,,,,,,
ALE-NXGN,1587.744863151393,1587.2489176340496,1591.2520266373785,8.91275143561563,0.7742334834287514,1.0,0.44065451719153786,0.30006325011976637,0.6832040617696821
ALE-ASTE,1701.6226051298765,1700.8358607768741,1700.6435307816448,0.6228086101295993,1.3704499091555533,0.9340689250926848,0.4260739198915153,0.36683958830970886,0.5824642213179425
ALE-NYT,-113.84722215607258,-113.6885285935665,-113.92235751345265,-1.8888636365193268,0.3886078686215727,0.9952771380355697,0.21454034122778778,-0.07704871623534533,0.8859965157544148
ALE-UNM,,,,,,,,,
ALE-ABG,1418.2860453110343,1418.2507807480476,1414.3909085487808,-7.315804047467102,0.959414245567278,0.8698058603432973,0.3603095485869807,0.32853783415116905,0.5626528615050953
ALE-SPWR,,,,,,,,,
ALE-SYNA,2290.3955580342085,2307.7884936757146,2310.774257883918,23.110053681032127,0.8413336106262317,0.9882312582764641,0.6165115648392876,0.44721923905762523,0.6565501620838599
ALE-GIC,,,,,,,,,
ALE-MDC,,,,,,,,,
ALE-AMKR,,,,,,,,,
ALE-SKYW,,,,,,,,,
ALE-NSIT,1009.0552013560723,1013.9104762914347,1011.0402072568648,-3.4425587249305494,0.7288760240592891,0.9714542801570218,0.3830386165122427,0.11154696622708227,0.9228529006211628
ALE-RUSHA,-130.4369463920658,-124.61050615821705,-126.76728414083118,-1.6784922035113423,0.5030565603521437,0.9864351043059659,0.22643626796478744,0.005545438702711838,0.9994046592680654
ALE-BECN,,,,,,,,,
ALE-FHN,,,,,,,,,
ALE-PFS,-1256.415969334724,-1252.4285350396299,-1255.5798651507162,-0.9999503198024406,0.3671116462142241,0.8550949788352983,0.09133792766330351,0.09134256337293538,0.5187686222824655
ALE-ENR,2520.008286513655,2528.08251881989,2521.657936560763,14.310793642461544,1.813898516582264,0.9760252847373733,0.8410044113891119,-0.09077116721422637,0.9886213230560617
ALE-RLI,,,,,,,,,
ALE-ACM,,,,,,,,,
ALE-DBD,,,,,,,,,
ALE-SNV,1312.819848022259,1315.627432502968,1317.8804342094409,5.5929886948484135,0.5687506674440415,0.9827270828912481,0.3870696767016532,0.25722950616406964,0.6954970502537606
ALE-UFCS,,,,,,,,,
ALE-SBGI,,,,,,,,,
ALE-WW,,,,,,,,,
ALE-SLM,,,,,,,,,
ALE-GBX,1349.9763607614436,1351.992460571177,1351.190997979405,-10.097881374899725,0.9030026142792622,0.9929706576965958,0.46542319440439334,-0.08154824648606833,0.9703163390635913
ALE-KNX,2119.0906828770794,2127.224288435333,2008.3404122324828,9.643091593537564,0.5028309401074662,0.5059675972439075,0.6024823036373972,0.25760104075467116,0.8790010351900971
ALE-CLB,3696.28288750682,3695.491812550815,3697.2012285152546,-6.456666592188732,2.2975025701768628,0.9693271878223965,1.2014155241371702,0.9280745906537855,0.629889430279918
ALE-EQT,1326.9264900708968,1329.3397520096942,1330.0837193934165,0.5113634275315135,0.9510953629981507,0.9912721616221071,0.46757438365123083,-0.0016712719241250454,0.9999872799763968
ALE-APOG,,,,,,,,,
ALE-WABC,,,,,,,,,
ALE-QRTEA,,,,,,,,,
ALE-SSB,,,,,,,,,
ALE-UHAL,,,,,,,,,
ALE-HRI,,,,,,,,,
ALE-KALU,1989.2431892203363,1998.4709898879062,1997.1728212702114,0.02909760918560167,1.4543974964990303,0.9087407092961773,0.48420739019524983,0.4360528234727412,0.5637027516303024
ALE-AZZ,1307.2324148176663,1307.8626540157475,1305.7092278621387,-2.4864227118669326,0.9385156618515764,0.8909627457030397,0.3436664354003409,0.30867997352539206,0.5672878265753053
ALE-CBSH,,,,,,,,,
ALE-FSLR,,,,,,,,,
ALE-SPR,,,,,,,,,
ALE-KMPR,,,,,,,,,
ALE-THO,,,,,,,,,
ALE-ACHC,,,,,,,,,
ALE-M,,,,,,,,,
ALE-USM,,,,,,,,,
ALE-LTC,,,,,,,,,
ALE-SAFT,,,,,,,,,
ALE-CMC,99.30825596245234,101.55380659931689,100.02909861515423,3.5940449112761366,0.4229006783312875,0.9248413812746018,0.19707601209778497,0.15954095846936545,0.6132232137897993
ALE-MLI,,,,,,,,,
ALE-XRX,,,,,,,,,
ALE-INT,,,,,,,,,
ALE-NHI,,,,,,,,,
ALE-RCII,,,,,,,,,
ALE-DEI,-503.90482391712555,-498.60815540532565,-498.6955508368525,-2.728309263257139,0.5066931489009044,0.9355573765690132,0.1425377466751453,0.12295431473109618,0.5813553771527922
ALE-SCL,,,,,,,,,
ALE-WWW,,,,,,,,,
ALE-BC,,,,,,,,,
ALE-MTG,,,,,,,,,
ALE-SWN,2341.91327060506,2340.930961417355,2343.5371058336486,15.59739338999961,1.2495428850003616,0.9775686563616821,0.5893429781610553,0.5019849262399418,0.582283750138989
ALE-JWN,1602.0161851192581,1610.5959780332432,1612.6487349687795,-5.25280147834763,1.0690187054645452,0.9813391268962863,0.4503607394842243,0.2945925096566554,0.7023024035101584
ALE-SRCL,,,,,,,,,
ALE-BCO,,,,,,,,,
ALE-CMP,,,,,,,,,
ALE-TOL,1390.6523809450186,1392.435398980639,1391.4703117909594,3.662716580630285,0.7000401635246722,0.891477844658277,0.33790264066981485,0.343832382889171,0.5052487538749225
ALE-HNI,1186.5099891933553,1188.4583120182776,1189.0943063170084,-6.830488602389229,1.0572977145322973,0.9797604937076986,0.3940618731066791,0.18635211804982832,0.8187514394121422
ALE-MIC,,,,,,,,,
ALE-CORE,,,,,,,,,
ALE-PRGO,,,,,,,,,
ALE-WEN,-2454.1984074550414,-2444.4321949004716,-2451.78930523927,1.410480818185668,0.09858103255788293,0.9693509925446328,0.07050962005624475,0.010165764981219603,0.9799424862178622
ALE-TGNA,,,,,,,,,
ALE-MAC,1081.175825626954,1087.8766164088818,1088.0667610283629,-9.887002026807073,1.0557703957495914,0.9371581322148016,0.3129082282892338,0.27189721688004176,0.5775921852225788
ALE-CACI,2360.3452053154033,2363.5827271587304,2363.7921493011017,17.22973684297321,1.4224919324602139,0.9901166345964822,0.7780684712034217,0.07826107829661635,0.9900332325015557
ALE-EBIX,,,,,,,,,
ALE-RGR,,,,,,,,,
ALE-LAZ,,,,,,,,,
ALE-SFNC,,,,,,,,,
ALE-HLX,1002.8827690697226,1013.6471700413632,1009.3193490292629,-5.3467408343641285,0.8832681324469904,0.9740738069954347,0.39123254583028805,0.07632895128737788,0.9637903277680068
ALE-AUB,,,,,,,,,
ALE-FUL,,,,,,,,,
ALE-TILE,,,,,,,,,
ALE-WNC,,,,,,,,,
APOG-GCO,,,,,,,,,
APOG-CRS,,,,,,,,,
APOG-SCHN,,,,,,,,,
APOG-AMG,3891.9837055326675,3891.717237928069,3886.4954007159063,29.736284178578536,2.7644727763214623,0.8195436082149935,1.1775969803091553,1.1813818735512471,0.5220216490925162
APOG-LANC,,,,,,,,,
APOG-ON,,,,,,,,,
APOG-SLG,,,,,,,,,
APOG-SWM,,,,,,,,,
APOG-TCBI,,,,,,,,,
APOG-PNW,,,,,,,,,
APOG-NWBI,,,,,,,,,
APOG-NJR,,,,,,,,,
APOG-GFF,-299.84818944608264,-299.4659016973194,-298.30218623820895,3.774017897516987,0.3436972188718813,0.9644374796094136,0.16554744392717952,0.12588905051181062,0.6377599763390283
APOG-KOP,2032.3991379728266,2036.6255581612745,2032.5248710151836,13.4724556644944,0.9892527288650349,0.8958147395849958,0.519046709027279,0.4127842737263691,0.6251899158400223
APOG-JNPR,,,,,,,,,
APOG-HA,,,,,,,,,
APOG-CVI,,,,,,,,,
APOG-ISBC,,,,,,,,,
APOG-NXGN,,,,,,,,,
APOG-ASTE,1857.260298908703,1859.7071807710633,1858.3860555746842,16.426972887926055,0.9335297127141661,0.9442309729140295,0.4992071591775374,0.3473099362312202,0.6800252506309729
APOG-NYT,,,,,,,,,
APOG-UNM,,,,,,,,,
APOG-ABG,1488.4858159117107,1488.325022543572,1485.6070663015028,3.1276295311117073,0.7117213200986555,0.8906582541880682,0.3763366775235839,0.337031493223319,0.5687707734515923
APOG-SPWR,,,,,,,,,
APOG-SYNA,2332.750910326014,2343.907623559831,2346.181640653831,32.835827762885685,0.5700926435152728,0.991248461958947,0.7354167196201316,0.2526298035307758,0.8948633035491012
APOG-GIC,,,,,,,,,
APOG-MDC,759.5785789942288,764.2375004810075,764.238897048233,9.83730585452154,0.48009273349503917,0.9606797914111991,0.2943004527061717,0.19465892087681957,0.699845134714327
APOG-AMKR,-905.5143484667973,-906.170865691316,-903.2324700825715,3.1496335313732895,0.15597370339800773,0.9786240244868463,0.11162983389693157,0.10597891515336112,0.5286291212171639
APOG-SKYW,,,,,,,,,
APOG-NSIT,,,,,,,,,
APOG-RUSHA,,,,,,,,,
APOG-BECN,1084.9076078003231,1084.2567243200326,1084.0511409467274,8.053711051228227,0.6926181482338679,0.9211679869864252,0.30151999048619543,0.28326681336602183,0.5411834786218614
APOG-FHN,,,,,,,,,
APOG-PFS,,,,,,,,,
APOG-ENR,,,,,,,,,
APOG-RLI,,,,,,,,,
APOG-ACM,1252.7497104113677,1255.7313809267273,1259.3116001005303,25.468238477834554,0.5958717266967983,0.9955646212046638,0.3749030978733142,0.2514160174935344,0.6902604722844562
APOG-DBD,1177.54789110709,1181.1631705916823,1183.0083882952003,15.674172663002548,0.4548689010749694,0.9926379604435692,0.42223493369607235,0.10287012599522778,0.9441637860893182
APOG-SNV,,,,,,,,,
APOG-UFCS,,,,,,,,,
APOG-SBGI,,,,,,,,,
APOG-WW,,,,,,,,,
APOG-SLM,,,,,,,,,
APOG-GBX,,,,,,,,,
APOG-KNX,2117.926994369386,2130.4817640031542,2013.3652130371202,15.055183472076553,0.4035938720303002,0.5183461092070034,0.6059546545470254,0.2536024808427197,0.8826325978150759
APOG-CLB,,,,,,,,,
APOG-EQT,,,,,,,,,
APOG-ALE,,,,,,,,,
APOG-WABC,,,,,,,,,
APOG-QRTEA,,,,,,,,,
APOG-SSB,,,,,,,,,
APOG-UHAL,,,,,,,,,
APOG-HRI,,,,,,,,,
APOG-KALU,2119.146538528813,2122.7007377350374,2111.062385475107,16.687322064143842,1.0158760178711486,0.8407513374072862,0.5596024346623355,0.40298016553682087,0.6769197221125481
APOG-AZZ,,,,,,,,,
APOG-CBSH,,,,,,,,,
APOG-FSLR,5097.287456292979,5097.052989807631,5101.05298985021,135.6687650925934,1.9889009805889069,1.0,2.578221658936592,1.6339323864653548,0.7134543370210262
APOG-SPR,,,,,,,,,
APOG-KMPR,,,,,,,,,
APOG-THO,,,,,,,,,
APOG-ACHC,,,,,,,,,
APOG-M,,,,,,,,,
APOG-USM,,,,,,,,,
APOG-LTC,,,,,,,,,
APOG-SAFT,,,,,,,,,
APOG-CMC,172.38946559805993,180.23662382505677,170.1775303096582,8.478560424627586,0.2891863202912281,0.9515942256186776,0.2543996748202988,0.06496895967769112,0.9401666794250275
APOG-MLI,,,,,,,,,
APOG-XRX,,,,,,,,,
APOG-INT,1999.2422446890475,2002.3126711406026,1999.709337216564,11.681386748377626,0.7449640473124172,0.8963180801427768,0.49013258999150416,0.4306295395379842,0.577394971130825
APOG-NHI,,,,,,,,,
APOG-RCII,,,,,,,,,
APOG-DEI,,,,,,,,,
APOG-SCL,,,,,,,,,
APOG-WWW,,,,,,,,,
APOG-BC,1457.474642440559,1456.544537911559,1458.997833234098,-3.2669588841839827,0.7338311426036286,0.975274763581794,0.3787651063078924,0.32417245759683483,0.5802307834354236
APOG-MTG,,,,,,,,,
APOG-SWN,2433.737872354652,2435.3560283799616,2434.3521028316886,30.712937642506002,0.7819395496012586,0.9587232853598003,0.6940967291548933,0.41739913112977484,0.7384622089634421
APOG-JWN,,,,,,,,,
APOG-SRCL,,,,,,,,,
APOG-BCO,,,,,,,,,
APOG-CMP,,,,,,,,,
APOG-TOL,,,,,,,,,
APOG-HNI,,,,,,,,,
APOG-MIC,,,,,,,,,
APOG-CORE,,,,,,,,,
APOG-PRGO,,,,,,,,,
APOG-WEN,-2387.1029884024897,-2376.895979486883,-2379.6845102856128,2.6001012759063356,0.0636702491528377,0.8766188476468584,0.05357235724304614,0.05081770759803499,0.5422123278774529
APOG-TGNA,,,,,,,,,
APOG-MAC,,,,,,,,,
APOG-CACI,2477.8258545365316,2481.22486426015,2482.9843724950615,34.53893366161109,0.9173687238307922,0.9922429964992726,0.8070826516501176,0.19270204961802598,0.9462644754419522
APOG-EBIX,1696.0318935684063,1695.9673012573842,1699.7111128037955,5.2663697216245655,0.4743883743277212,0.9952238155029735,0.5120375818401407,0.22987891664552812,0.8325880659679054
APOG-RGR,,,,,,,,,
APOG-LAZ,,,,,,,,,
APOG-SFNC,,,,,,,,,
APOG-HLX,1165.7354855117853,1171.8444685366426,1168.6257073375004,5.22611920616434,0.5798665752932441,0.9709893079479793,0.41180095029350977,0.12884512959865058,0.9120133481640186
APOG-AUB,,,,,,,,,
APOG-FUL,,,,,,,,,
APOG-TILE,,,,,,,,,
APOG-WNC,54.36594762797927,57.76477728667521,61.642513369185394,-2.040775637881944,0.2716770099766518,0.9990485004490506,0.22305011202097227,0.11024760458159374,0.803736165843807
WABC-GCO,,,,,,,,,
WABC-CRS,2211.7510160223906,2213.5441934815562,2213.246804142224,-13.659968934454177,0.8796015789779341,0.9140071152937035,0.5205669726645977,0.5054239295053147,0.5257248120606312
WABC-SCHN,,,,,,,,,
WABC-AMG,,,,,,,,,
WABC-LANC,,,,,,,,,
WABC-ON,,,,,,,,,
WABC-SLG,,,,,,,,,
WABC-SWM,,,,,,,,,
WABC-TCBI,,,,,,,,,
WABC-PNW,,,,,,,,,
WABC-NWBI,-2559.3209494020357,-2558.4361210522893,-2558.0762490718234,0.5105336414823318,0.11916163909855942,0.9168445168905133,0.04767251382050299,0.04788496694621915,0.5083926129697538
WABC-NJR,,,,,,,,,
WABC-GFF,,,,,,,,,
WABC-KOP,,,,,,,,,
WABC-JNPR,1388.2213085056885,1387.94283811586,1387.9286215875645,6.4549030391769335,0.41451362385093726,0.9966515787749294,0.39964356585727256,-0.2680791789762401,0.6900294491784262
WABC-HA,,,,,,,,,
WABC-CVI,,,,,,,,,
WABC-ISBC,,,,,,,,,
WABC-NXGN,,,,,,,,,
WABC-ASTE,1631.7789621438255,1633.6501302276872,1626.6386620190196,0.11141949416627739,0.754245772669157,0.8374920676987646,0.4076616260173311,0.3570450780440573,0.5865924618547137
WABC-NYT,,,,,,,,,
WABC-UNM,,,,,,,,,
WABC-ABG,,,,,,,,,
WABC-SPWR,,,,,,,,,
WABC-SYNA,2264.36964038909,2268.6574769480667,2271.4445389579655,21.182212832315425,0.5042562469615024,0.9974573457253755,0.7466274983762948,0.019392535420699613,0.9993266881948474
WABC-GIC,,,,,,,,,
WABC-MDC,,,,,,,,,
WABC-AMKR,,,,,,,,,
WABC-SKYW,,,,,,,,,
WABC-NSIT,,,,,,,,,
WABC-RUSHA,,,,,,,,,
WABC-BECN,,,,,,,,,
WABC-FHN,,,,,,,,,
WABC-PFS,,,,,,,,,
WABC-ENR,2582.0723888366547,2581.9464198865016,2585.9523410607508,18.179543008072052,0.7543669711169854,1.0,0.7423165797847925,0.4573275049934019,0.7248706886901408
WABC-RLI,,,,,,,,,
WABC-ACM,,,,,,,,,
WABC-DBD,,,,,,,,,
WABC-SNV,1167.1681774171634,1171.4214515042288,1172.559916319162,1.65057418211593,0.4193068176730059,0.9864760405512522,0.40679569107735564,0.14638504961467017,0.8860411662530091
WABC-UFCS,,,,,,,,,
WABC-SBGI,,,,,,,,,
WABC-WW,3511.6947823582727,3512.0270674018366,3515.939177723192,0.818593229121479,0.6750821273579576,0.9971803843617446,1.0200063820050886,0.9345121244930857,0.5440083074528755
WABC-SLM,,,,,,,,,
WABC-GBX,,,,,,,,,
WABC-KNX,2020.038225159284,2080.288395266929,1934.3806233963287,6.38491734138565,0.4023727700267442,0.5173161325565552,0.6018255904737404,0.1915402055817386,0.9286373721004785
WABC-CLB,,,,,,,,,
WABC-EQT,,,,,,,,,
WABC-ALE,,,,,,,,,
WABC-APOG,,,,,,,,,
WABC-QRTEA,,,,,,,,,
WABC-SSB,,,,,,,,,
WABC-UHAL,,,,,,,,,
WABC-HRI,,,,,,,,,
WABC-KALU,,,,,,,,,
WABC-AZZ,,,,,,,,,
WABC-CBSH,,,,,,,,,
WABC-FSLR,,,,,,,,,
WABC-SPR,1237.732648891627,1244.2340551036307,1245.8353796291294,1.1308990280206537,0.3690270879225251,0.9871405886744129,0.41259874829465526,0.17552941985794945,0.8475855434481299
WABC-KMPR,,,,,,,,,
WABC-THO,,,,,,,,,
WABC-ACHC,,,,,,,,,
WABC-M,,,,,,,,,
WABC-USM,,,,,,,,,
WABC-LTC,,,,,,,,,
WABC-SAFT,,,,,,,,,
WABC-CMC,49.1332890254497,58.74456296714516,54.78129159792729,3.264928964555594,0.23671558569048756,0.9320948081752799,0.2104759285398324,0.13100277144454608,0.727672956341414
WABC-MLI,,,,,,,,,
WABC-XRX,,,,,,,,,
WABC-INT,,,,,,,,,
WABC-NHI,,,,,,,,,
WABC-RCII,,,,,,,,,
WABC-DEI,,,,,,,,,
WABC-SCL,,,,,,,,,
WABC-WWW,,,,,,,,,
WABC-BC,,,,,,,,,
WABC-MTG,,,,,,,,,
WABC-SWN,2336.000291650389,2341.195737921523,2339.2050822537262,16.522674328075546,0.6402035301788372,0.987585693924849,0.7723802474431867,0.012847328601353677,0.999725122103093
WABC-JWN,,,,,,,,,
WABC-SRCL,,,,,,,,,
WABC-BCO,,,,,,,,,
WABC-CMP,,,,,,,,,
WABC-TOL,,,,,,,,,
WABC-HNI,1140.603355258418,1139.7768917893434,1135.221038455641,-6.932273350072114,0.5670704561502199,0.8182878098972329,0.2939789335395696,0.30605684372280695,0.5036815358033578
WABC-MIC,,,,,,,,,
WABC-CORE,,,,,,,,,
WABC-PRGO,,,,,,,,,
WABC-WEN,,,,,,,,,
WABC-TGNA,,,,,,,,,
WABC-MAC,,,,,,,,,
WABC-CACI,,,,,,,,,
WABC-EBIX,,,,,,,,,
WABC-RGR,,,,,,,,,
WABC-LAZ,913.0521986548382,916.4683912682092,918.7006641818955,1.8629986976037074,0.41769851033452526,0.9947732853701385,0.3754065914940973,0.06526205087124028,0.9707393591440662
WABC-SFNC,-1249.287059499135,-1241.0525927854706,-1246.6378620595065,2.180177403424776,0.22551881371808127,0.9813126384517451,0.12973623275781043,-0.0019275556259565011,0.9997813651816757
WABC-HLX,1022.0936932831137,1022.1669840883095,1024.8938291612533,-4.536227051124278,0.4520267134897467,0.9789109464063964,0.30302555188181357,0.263715820130475,0.5716265688097409
WABC-AUB,,,,,,,,,
WABC-FUL,,,,,,,,,
WABC-TILE,,,,,,,,,
WABC-WNC,,,,,,,,,
QRTEA-GCO,,,,,,,,,
QRTEA-CRS,2296.6744507892236,2299.0483959166104,2297.8725535921903,8.365966393720036,2.8198973473136877,0.9243983674472533,0.581825914677414,0.48391197629574834,0.6003851905353896
QRTEA-SCHN,,,,,,,,,
QRTEA-AMG,3728.230987655373,3727.4574858473297,3720.275732870586,36.32047799277133,7.244563561710834,0.8574636515395014,1.195407386787045,0.9639766162257465,0.6234659822349359
QRTEA-LANC,,,,,,,,,
QRTEA-ON,,,,,,,,,
QRTEA-SLG,,,,,,,,,
QRTEA-SWM,,,,,,,,,
QRTEA-TCBI,,,,,,,,,
QRTEA-PNW,,,,,,,,,
QRTEA-NWBI,-2092.2567704529315,-2076.808091194947,-2087.205943233301,3.8494898158283055,0.25774165962654666,0.7648503584526485,0.06236224174830006,0.05835408387120285,0.5641304627457698
QRTEA-NJR,,,,,,,,,
QRTEA-GFF,,,,,,,,,
QRTEA-KOP,,,,,,,,,
QRTEA-JNPR,,,,,,,,,
QRTEA-HA,,,,,,,,,
QRTEA-CVI,,,,,,,,,
QRTEA-ISBC,,,,,,,,,
QRTEA-NXGN,,,,,,,,,
QRTEA-ASTE,1790.6488644204223,1803.6247978581046,1800.750528327051,19.382679553602607,2.21978705178877,0.8658916947096162,0.422369018134171,0.4133081236525879,0.5281651858328372
QRTEA-NYT,-98.25083893481485,-96.76104753894504,-100.79222538642625,3.189785538367678,0.7021287208719814,0.9905424311176784,0.21776736943045,-0.07228272704406606,0.9011817250705619
QRTEA-UNM,,,,,,,,,
QRTEA-ABG,1466.8103213602717,1465.837571113365,1459.532279960235,5.562264192573606,1.61690429185939,0.8643497492137441,0.3858546524354877,0.31591009533926584,0.6154408009451293
QRTEA-SPWR,,,,,,,,,
QRTEA-SYNA,,,,,,,,,
QRTEA-GIC,,,,,,,,,
QRTEA-MDC,,,,,,,,,
QRTEA-AMKR,-1012.7670175346477,-1013.6135701659944,-1014.1059677200852,3.384994067391785,0.4658675694038627,0.9483194728582727,0.11746226707684472,0.08614268832686352,0.6561996810826518
QRTEA-SKYW,,,,,,,,,
QRTEA-NSIT,,,,,,,,,
QRTEA-RUSHA,-62.34350091993531,-56.67103472850647,-56.66874887177073,5.219089924776371,0.8535781029040592,0.9902519603985296,0.23357099076746415,0.02132940304156702,0.991769834752296
QRTEA-BECN,,,,,,,,,
QRTEA-FHN,,,,,,,,,
QRTEA-PFS,,,,,,,,,
QRTEA-ENR,2655.95357124282,2657.0488082364577,2658.366811845742,37.68971657181506,2.236214473072402,0.9504953136632668,0.66489272013711,0.6145797670835352,0.5454833621950328
QRTEA-RLI,,,,,,,,,
QRTEA-ACM,,,,,,,,,
QRTEA-DBD,1059.7119142716676,1065.8221502376637,1067.07436998928,16.354111943268006,1.350138892326177,0.9412175132174799,0.292216472756736,0.28791837826997746,0.5148624960914725
QRTEA-SNV,1320.6263873822024,1325.1946537019305,1326.7895682344424,13.137284209181876,1.0089705112423464,0.9732097268881167,0.37991491542278033,0.2712523215585133,0.6653618825289301
QRTEA-UFCS,,,,,,,,,
QRTEA-SBGI,,,,,,,,,
QRTEA-WW,,,,,,,,,
QRTEA-SLM,,,,,,,,,
QRTEA-GBX,,,,,,,,,
QRTEA-KNX,2117.6516682655115,2130.0838304629397,2008.5336922982233,16.65067219371368,0.8729227018801142,0.5041670151752987,0.6043409571869586,0.2533729444270322,0.8832383072823575
QRTEA-CLB,,,,,,,,,
QRTEA-EQT,1386.8048155737822,1386.6110713186715,1385.7750559211977,12.995349341843774,1.5099616392723725,0.9955645238759545,0.41831429299363304,-0.23685201916304616,0.7576457053677654
QRTEA-ALE,,,,,,,,,
QRTEA-APOG,,,,,,,,,
QRTEA-WABC,,,,,,,,,
QRTEA-SSB,,,,,,,,,
QRTEA-UHAL,,,,,,,,,
QRTEA-HRI,,,,,,,,,
QRTEA-KALU,2062.3491315796455,2069.0958664285636,2053.06159183117,19.909644371223404,2.416945169211949,0.7323857351690849,0.5048774017282945,0.44043005027836035,0.6027114399052957
QRTEA-AZZ,,,,,,,,,
QRTEA-CBSH,,,,,,,,,
QRTEA-FSLR,,,,,,,,,
QRTEA-SPR,,,,,,,,,
QRTEA-KMPR,752.7701315553254,763.5213761297941,739.8057716409521,5.441331017928507,1.2482067693507921,0.6933629612552731,0.2708368875467837,0.21945803203185751,0.6427091598423564
QRTEA-THO,,,,,,,,,
QRTEA-ACHC,,,,,,,,,
QRTEA-M,,,,,,,,,
QRTEA-USM,,,,,,,,,
QRTEA-LTC,,,,,,,,,
QRTEA-SAFT,,,,,,,,,
QRTEA-CMC,88.64869567893243,94.50709450741999,91.22160393113984,9.088366852278371,0.7843981883253085,0.9331548889789371,0.21181016950284032,0.1373599271018691,0.7109834863213842
QRTEA-MLI,,,,,,,,,
QRTEA-XRX,,,,,,,,,
QRTEA-INT,1940.1215538234474,1945.185726431408,1942.9573924393492,13.69037616011169,1.8972930826422858,0.9631346536118341,0.574219827599097,0.2693919076464589,0.8223418253178324
QRTEA-NHI,,,,,,,,,
QRTEA-RCII,,,,,,,,,
QRTEA-DEI,-322.20209128565386,-320.5712874436422,-324.35626783029875,4.319076220503318,0.7655904691515282,0.8773647434982516,0.15349722555580841,0.1363293238229244,0.5745638099036053
QRTEA-SCL,,,,,,,,,
QRTEA-WWW,216.1831215666739,216.4900263925506,213.3822092118413,6.99813676897345,0.8757109093155123,0.9010234584652831,0.2074583290919997,0.1700869461588423,0.6101627213708432
QRTEA-BC,1381.7522039901241,1385.1664605519957,1385.2956544721942,-1.1432590087619756,1.819481057723002,0.9829012856110508,0.45415738830772573,0.1572150268950171,0.8938082454272526
QRTEA-MTG,,,,,,,,,
QRTEA-SWN,,,,,,,,,
QRTEA-JWN,1572.9113211641434,1578.0876304373828,1566.620413069657,8.339655020342896,2.0976716003601688,0.9224275766471723,0.4865217658211836,0.19985310385580526,0.8604408656598332
QRTEA-SRCL,,,,,,,,,
QRTEA-BCO,,,,,,,,,
QRTEA-CMP,2231.3378721019176,2235.217656165553,2232.431911377856,29.762082754595383,2.1124007634564563,0.8591255728704187,0.5148527164798395,0.5210724719017313,0.5122536466402161
QRTEA-TOL,,,,,,,,,
QRTEA-HNI,,,,,,,,,
QRTEA-MIC,,,,,,,,,
QRTEA-CORE,,,,,,,,,
QRTEA-PRGO,,,,,,,,,
QRTEA-WEN,-2480.6149757700214,-2470.982671815183,-2477.664302484755,2.668170148608712,0.19773973028287647,0.8258928461292973,0.051670824400913154,0.04770829860174032,0.5623374565983684
QRTEA-TGNA,,,,,,,,,
QRTEA-MAC,1231.029833090623,1234.0296668735468,1232.4658364429256,4.669080607804292,1.6352011042578374,0.9414575619732634,0.36656979106540555,0.2530179064033206,0.6837729612770613
QRTEA-CACI,2426.7442746479355,2434.2821006355175,2432.437223129946,37.09380699492049,2.2488516174164093,0.9849416689020398,0.8038992740575347,0.092138385555577,0.9871302492138063
QRTEA-EBIX,1665.8815755066305,1665.602011860182,1668.646442887832,6.537839902929028,1.1991157663061545,0.9886981143901339,0.4851328593842259,0.26617773283468865,0.7696230629178807
QRTEA-RGR,,,,,,,,,
QRTEA-LAZ,,,,,,,,,
QRTEA-SFNC,,,,,,,,,
QRTEA-HLX,1051.4175466538452,1063.3365733957214,1058.6273274908467,6.595421179921653,1.5354145623075193,0.9510593126445287,0.37241441999392944,0.16788825170187513,0.8345456434781005
QRTEA-AUB,,,,,,,,,
QRTEA-FUL,,,,,,,,,
QRTEA-TILE,,,,,,,,,
QRTEA-WNC,,,,,,,,,
SSB-GCO,,,,,,,,,
