,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
SCHN-WNC,-63.67634446425632,-63.42611501535794,-59.426115006605414,-4.577865900448442,0.13963527125969963,1.0,0.1786828120553351,0.15143264412683782,0.5819887089493752
AMG-GCO,,,,,,,,,
AMG-CRS,,,,,,,,,
AMG-SCHN,,,,,,,,,
AMG-LANC,,,,,,,,,
AMG-ON,,,,,,,,,
AMG-SLG,,,,,,,,,
AMG-SWM,,,,,,,,,
AMG-TCBI,,,,,,,,,
AMG-PNW,,,,,,,,,
AMG-NWBI,-2347.398284753138,-2340.277958192798,-2344.7698879098557,2.8614350606123558,0.03023774046629822,0.8469818154132766,0.05472594944313784,0.051480664906500564,0.5502937694068405
AMG-NJR,,,,,,,,,
AMG-GFF,-478.4204280220954,-479.2291835411204,-477.64626777396734,2.8813815718851448,0.07524792470843354,0.952867288393803,0.13818212089633175,0.1307305149142849,0.5336285092920524
AMG-KOP,1734.778941790579,1737.8745169740441,1736.8769964397943,9.034089481407534,0.2475421465073575,0.9211156074966547,0.43392817549458196,0.373391485808902,0.5843713138561812
AMG-JNPR,,,,,,,,,
AMG-HA,,,,,,,,,
AMG-CVI,,,,,,,,,
AMG-ISBC,,,,,,,,,
AMG-NXGN,,,,,,,,,
AMG-ASTE,1494.4249867216652,1493.762578195678,1488.495663352427,11.915732308521205,0.2427625987452355,0.8319963788104712,0.36383447308317624,0.3515374807662934,0.5390468950798774
AMG-NYT,-170.5427321402998,-170.1744227902609,-169.3901088445142,1.4665774035818728,0.06430891919010985,0.9957971507615995,0.2155559488639156,-0.05205205701174847,0.9450106156431136
AMG-UNM,,,,,,,,,
AMG-ABG,1212.8698834869401,1213.2636358703573,1203.346478376969,-0.14314225995179974,0.18217620768944007,0.8948152932545219,0.37895728410421575,0.22162359860545194,0.7552685545197445
AMG-SPWR,,,,,,,,,
AMG-SYNA,,,,,,,,,
AMG-GIC,,,,,,,,,
AMG-MDC,,,,,,,,,
AMG-AMKR,,,,,,,,,
AMG-SKYW,,,,,,,,,
AMG-NSIT,,,,,,,,,
