,m1,m2,n,BIC,num_fit,$\delta_0$,$\delta_1$,$\delta_2$,"$\phi_{1,0}$","$\phi_{1,1}$","$\phi_{1,2}$",$\sigma_1^2$,"$\phi_{2,0}$","$\phi_{2,1}$","$\phi_{2,2}$",$\sigma_2^2$
MATX-HNI,2,1,2,-4533.980504466013,1,2.093554156698404,-9.059777997498973,8.53250368765094,-0.0008783630348969014,0.9555232835578948,0.04064179194511297,0.0002988782207471992,0.01182382268792581,1.0013921803804726,0.0,0.0038251218847337666
MATX-NNI,,,,,,,,,,,,,,,,
MATX-CSGS,,,,,,,,,,,,,,,,
MATX-KFY,,,,,,,,,,,,,,,,
MATX-NYT,1,2,1,-3976.1344444519227,1,0.7457114985789922,0.7991014960339757,0.0,6.980786895968358e-05,0.9967134991552302,0.0,0.000472846336749015,0.0026275054833904687,0.9549490791098094,0.04984850937375995,0.0008125262376037635
MATX-WIRE,2,2,2,-4249.346654197713,3,-2.3840610001913607,-2.902868454761874,5.8692516310025376,0.0027724979253642146,1.467250673134373,-0.4753820642461619,0.0026066328401483435,0.0014824047233462645,0.833445475783833,0.16740693750789148,0.00032839329797752293
MATX-GBCI,,,,,,,,,,,,,,,,
MATX-HI,2,2,1,-4178.27225337431,1,1.7110346023061596,0.603926452750928,0.0,0.0003791973968526319,0.9866670530899455,0.011020327225992332,0.0006147606411596837,0.0015263159561470369,0.8971068064344365,0.10299777392646092,0.0005878475845867532
MATX-AEO,,,,,,,,,,,,,,,,
MATX-THG,,,,,,,,,,,,,,,,
MATX-X,1,1,2,-4176.774552633247,4,2.0974664130915985,-13.604419194060963,13.841519467542874,-0.0007870320989438531,0.9924585459292002,0.0,0.0005566782265960643,0.01059138901491033,1.0012091407353934,0.0,0.004213570709038859
MATX-LZB,1,1,2,-4596.250096929704,4,2.91433106352811,-20.303202640795885,18.41022504391954,-0.0005597392811742203,0.9949815492795825,0.0,0.000362214178177911,0.00949326539631442,1.006655495906582,0.0,0.004151710880106788
MATX-WTM,,,,,,,,,,,,,,,,
MATX-MTZ,,,,,,,,,,,,,,,,
MATX-SANM,1,1,1,-3522.286503462818,1,-0.368175913064523,1.2092745766282043,0.0,-0.0011381506897019875,0.9900431760264916,0.0,0.0008626769933267716,0.0018615354667842299,1.0023177955583173,0.0,0.0008055135462048672
MATX-KSS,2,2,1,-3840.768607721647,1,0.5642205385745094,2.723522477989834,0.0,0.0008679418294123692,0.993413936757463,0.004482624807479851,0.0007834614640602297,0.000780989799825077,0.9658821727948919,0.037335489168256686,0.0005307822274399389
MATX-HOPE,2,2,2,-4509.460881434387,5,2.970736834831862,23.711911220328506,-26.367732617990423,-0.0012110285307980473,1.0121899170757729,-0.018392397206838496,0.00036132070639246377,0.01085839072921907,0.97060964555655,0.034221678262156274,0.0026500434548954147
MATX-BLMN,2,1,1,-4306.4555108672,6,1.8922298459960605,3.458954678019973,0.0,0.0010028211634566242,0.9620553800149878,0.03480157229066094,0.0007758972354225589,0.0020522761109085103,1.0033496801995416,0.0,0.0004613099977880805
MATX-FCF,2,1,1,-4383.612475881604,4,2.4892683620080787,0.7057994290472718,0.0,-0.0006982828781353229,0.9823419151175301,0.005990215460883519,0.0005488560953299179,0.012322743042398505,1.06544103016,0.0,0.004593190705120536
MATX-CRI,,,,,,,,,,,,,,,,
MATX-PBI,1,1,1,-4646.625333071852,2,3.229385852030934,1.3260611419896868,0.0,0.0006105015714267345,0.9985349699047102,0.0,0.0005620974720466678,0.006576960946924441,1.0046832813171773,0.0,0.0016976445045599226
MATX-SJI,2,1,2,-3506.220621385985,4,0.5962433506081227,5.713519045711256,-2.6787799350375585,0.0016741348162789653,0.9107865276292557,0.0769069717752302,0.0017575774702751077,0.0002386408245338284,1.0172710378422727,0.0,0.00031262453615277523
MATX-ATO,,,,,,,,,,,,,,,,
MATX-NRG,2,1,1,-3670.746930494591,1,1.3422349315611362,1.9554753774513627,0.0,-0.0007478381574170072,0.9637189981822942,0.022163834533451165,0.0011391477528675266,0.00714870565949438,1.007981735819643,0.0,0.0011921259869198204
MATX-ZGNX,2,2,1,-4282.730307047986,7,-3.0162836117869682,3.708120050692074,0.0,0.010368239156769418,1.1510278055060894,-0.17515603528585189,0.0033738741470228494,0.0003906985983573308,0.9272042324933807,0.07284806718337222,0.00042378035130909066
MATX-ISBC,,,,,,,,,,,,,,,,
MATX-UNFI,2,2,2,-4447.216028075023,5,-3.4453704562535394,-0.8395247144175215,5.388422819258295,0.0044530482082434375,1.476017993935102,-0.49159508010274067,0.003178938972441615,0.001098518566472334,0.8601398087955374,0.13993063012634366,0.0003488968678870077
MATX-AEL,,,,,,,,,,,,,,,,
MATX-SBRA,2,2,1,-4058.3222399516276,1,1.2065269326350818,1.0449150293142662,0.0,0.0006123089378157476,1.0048179400271238,-0.007310559001552974,0.0005995658518805764,0.002807529048978269,0.9724037173292004,0.034347144400754814,0.0006680272516797345
MATX-FLO,2,1,1,-3850.2455884435685,1,1.6863314446408997,2.8357969740939692,0.0,-0.00045447960456898064,1.0000854694154242,-0.009139877608930647,0.001068600623282469,0.007026236627132617,1.0163844621284028,0.0,0.0022767949449461248
MATX-AZZ,,,,,,,,,,,,,,,,
MATX-ABM,2,1,1,-4572.315717490271,4,2.802141615045608,-2.1862638644824974,0.0,-0.0010769531624355497,0.9403074522301722,0.04942475896420717,0.00037367988628628094,0.012334971125201065,1.0091460542602488,0.0,0.004271446588614088
MATX-WMK,,,,,,,,,,,,,,,,
MATX-MOS,1,2,2,-3430.5920127708055,1,0.11404350346313143,0.9960139060200992,-0.5204315858388293,-0.0010627135471704286,0.9840336952270738,0.0,0.0021857452444191978,0.0015149528450798394,0.8860649777566607,0.11488857943388098,0.00031171098508788847
MATX-WWD,,,,,,,,,,,,,,,,
MATX-PLXS,,,,,,,,,,,,,,,,
MATX-FLS,1,1,1,-4131.642721970472,3,2.5283731721047253,2.2275347514847637,0.0,-0.000636524055502052,0.9852456906398606,0.0,0.0009024136924131918,0.024846500758835564,1.093398637998804,0.0,0.006607575590494669
MATX-BXS,2,2,2,-4719.11472547011,4,2.7224242356892634,1.8454771634838385,-3.427203610762164,-0.0014668552025494108,1.0016631351174397,-0.007979258866896544,0.0002922195947184439,0.01730006879941265,1.162577311655923,-0.15409889159374757,0.0031367446064391137
MATX-GRPN,1,1,1,-4138.519074317247,7,1.4355229259677502,5.454064401037029,0.0,9.220673067028215e-05,0.9880065792248814,0.0,0.0007564494789469448,0.0073629407940256145,1.0629110999839597,0.0,0.007130186154222087
MATX-PWR,2,2,1,-4101.42057114829,4,6.240557390181855,-4.181749281362884,0.0,0.001582329242921069,0.9722327542041995,0.017106576861628753,0.0014486352538906852,-0.19534292272891676,-0.17659521368210562,0.9602635302642959,1.225719911109448e-06
MATX-AWI,1,2,1,-3842.023734134173,2,-0.9485430157606178,3.972612043110557,0.0,0.0006425801678797416,0.9949373866316219,0.0,0.0014310578463852485,0.0020687698723442782,0.8435724649577452,0.15928286029787841,0.0001908049315745388
MATX-WBS,1,1,2,-4646.297968484538,3,1.9696203351656576,-18.829578355226314,22.32074536809646,-0.0015046678128704727,0.9850057177093337,0.0,0.0003378780772361192,0.012598706235109263,1.0145404462896888,0.0,0.0031438277870548
MATX-PCH,1,1,1,-3993.5357249949375,4,46.60376429221455,-72.85261365634025,0.0,0.0009471248414461583,0.9904645072227053,0.0,0.0017635982829525083,-0.5004784706472094,1.5989263528043693,0.0,0.00011307064774206287
MATX-NWE,,,,,,,,,,,,,,,,
MATX-UGI,,,,,,,,,,,,,,,,
MATX-BC,,,,,,,,,,,,,,,,
MATX-SAH,2,2,2,-4644.547814547532,3,-3.321476845858498,4.826695105553335,-0.15137820276401381,0.00950676769072073,1.2789035399708268,-0.29635330773930946,0.0024471310926969473,0.0003262177958964496,0.9120622229051776,0.08858060279590063,0.0002457349742778366
MATX-RPT,,,,,,,,,,,,,,,,
STFC-PII,2,2,2,-4624.539111825695,3,5.419807574941386,-5.707963380163749,-3.551252213987073,0.00014911709757936542,0.9110242698763251,0.0764772374863476,0.0006252334093973208,0.04309126284195054,-2.1595752412087563,2.9998381944356822,0.0013371363473922782
STFC-SWBI,2,1,1,-4211.1411463276945,2,-2.313732908933174,1.2362346398607145,0.0,0.005318682546786677,0.12626621727572562,0.7041747093124844,0.0019755406440691253,-0.00048148606775824535,1.0009610430682563,0.0,0.000600443324479635
STFC-LPLA,2,1,1,-4194.04209429881,1,2.1025912783175458,0.042638101232223447,0.0,0.00010905469516034674,0.8617561893673162,0.11703263872792036,0.0008349016069127902,0.0003359797608173511,1.0087192683176809,0.0,0.00010903279590128014
STFC-UVV,2,2,2,-3730.5018765697487,1,-0.12730241738417167,-1.2130542510909352,1.0029494241904615,0.0015808101663847733,0.7204346966936797,0.24816543634842958,0.0011986615840487796,-0.0005751439294039672,1.0477339660803935,-0.04725177493863697,0.00034072445313025775
STFC-HMN,,,,,,,,,,,,,,,,
STFC-MOH,2,2,2,-3777.4132418737768,2,0.4295871899776922,8.66745111995013,-8.551570277299994,0.0014866774364235358,0.7186576633780941,0.23092193448643705,0.0010283199158671822,-0.001789222324207796,1.2248901706309976,-0.2209059251492409,0.0002633842561189086
STFC-SHOO,1,2,2,-4243.3252566459905,2,2.7351636593050657,-6.585979870035839,4.945940449314625,7.764514805000606e-06,0.9769001780151219,0.0,0.0006496338012416768,0.00484617113705749,0.3269209074813766,0.6970778582119159,0.0031038516746227057
STFC-HSC,,,,,,,,,,,,,,,,
STFC-CLR,2,2,2,-3972.08352061711,2,2.0488313771164814,6.921145891717818,-10.381924600562874,0.0015896881889546424,0.8899324104346249,0.08632496923132749,0.0009636718015182058,-0.0038140495775063205,0.8732743543118104,0.13424903038938396,0.0001669342054743498
STFC-HRI,,,,,,,,,,,,,,,,
STFC-TG,2,2,2,-3603.5283423528804,1,1.4468654057694113,5.330042689974777,-7.349927011172162,0.0005785250009246873,0.7756924559999891,0.18458574873429434,0.001504219132402918,-6.954455476906526e-05,1.239815695884264,-0.23436656819880142,0.0002415854318889288
STFC-HOG,1,2,1,-4339.566569518191,2,2.2244864265589146,-0.15521379716932915,0.0,0.0007263596773360349,0.9844665515139873,0.0,0.0008260792787413385,0.0007313234604434393,0.4134230776807257,0.5941182878491489,2.106987767925143e-05
STFC-EBIX,2,1,2,-4038.755834838538,2,1.8466291044772367,9.60379813275177,-11.803279959531826,-5.0711840021210736e-05,0.8603165921362859,0.11386208246701202,0.000992706737853555,0.002091389875191871,1.0022013070168025,0.0,9.123709384480407e-05
STFC-PAG,1,1,2,-4033.627713934905,2,1.2238062837884682,-5.211657730409734,8.615647759763263,5.498729739067485e-05,0.9312117407521643,0.0,0.0009274480874048759,0.0007074161079248238,1.0056503860566541,0.0,0.0001176808419668377
STFC-ACCO,1,2,2,-3839.2525681838847,2,-0.3703458804643221,1.7850623249294255,-4.182521041300713,0.0010382623318667215,0.9376147456502969,0.0,0.0014625088600944821,0.000555783293071729,0.9193423309923148,0.08205529493377384,0.00038230328287392764
STFC-CVBF,,,,,,,,,,,,,,,,
STFC-ESE,1,2,2,-4156.753048885251,3,2.440493597383719,2.4751994031076894,-6.658760028027396,0.0009757865208121948,0.9778577355868487,0.0,0.000801634724252796,0.0001445003179085802,0.43123374463502273,0.5698043959366856,0.00015077249084922156
STFC-AVA,2,2,2,-3887.8891307474546,3,1.1861091270585384,3.0374669883965892,-5.633367483181299,-0.0005291223173289904,0.865572406872861,0.08519212734407056,0.0009901692456284028,0.0007645611526820167,1.0349227870733255,-0.01934811600623476,0.00017005207314545992
STFC-SYNA,1,1,2,-3713.9018722386545,6,0.5209618684745517,-3.8781611390182844,5.178966541476897,-0.0008194349623285801,0.9098961985440365,0.0,0.0012014419016374864,0.002134596786103974,1.0387511165954477,0.0,0.00024861125094714206
STFC-PVH,2,1,1,-3939.334777441258,2,1.8103007539855749,3.135576567855858,0.0,0.0022499391665948554,0.8487788254571065,0.12894440343084668,0.0010071943799904765,-0.01915079183555556,1.0622800632195437,0.0,0.0007038341315575044
STFC-EPR,1,2,1,-3912.547512694809,2,1.2745166651676334,-1.5843379795571417,0.0,0.001000877939565451,0.953839370999457,0.0,0.0010117156717935288,-0.0035360495453024745,0.9646084237773849,0.04565756294505974,0.00015244871244250456
STFC-SITC,1,1,2,-3863.755047981218,2,-0.5486514185054796,13.069276854605437,-15.935872235676761,0.003008478404428014,0.9313278830576206,0.0,0.0015774395887207407,-0.00036784817744927104,1.0000395200421288,0.0,0.00045291779997933316
STFC-SWX,2,2,1,-4385.99610229774,1,4.884988817715585,-12.956709085534536,0.0,-0.0003524800979721942,0.960364290086483,0.0038966341639117275,0.0007980864341928369,0.008043983330971467,0.8497685174190224,0.1538983393845541,0.0004573090013241946
STFC-HNI,2,1,1,-4466.11983088327,2,2.841254573589337,-5.407469965062623,0.0,0.00011088392746648468,0.860116933511069,0.10451651306792087,0.0007277199196685561,0.0027954002835197914,1.0490302228080872,0.0,1.3788871885881078e-05
STFC-NNI,2,2,2,-4675.275472872149,5,6.240190307800973,-8.863070695127263,-0.45644816381460906,0.00032575553035310394,0.9159659628529191,0.07330806035348658,0.0006556563749109178,0.08831204058483003,-1.8558774613485696,2.4790281699250727,5.03226535591521e-06
STFC-CSGS,2,2,2,-4654.044473554043,3,10.029777758790537,-2.5259703808283462,-29.439696514575463,-0.0004352565850528423,0.8852227031393518,0.08104312228070754,0.0007271552168612355,0.1204983164150093,0.5744799778666163,0.89033226577709,1.554414738445388e-08
STFC-KFY,2,1,2,-4053.0154674331156,5,0.8355076146642151,-1.1731664382806704,8.705073628880637,-0.00023195460413358814,0.8166813798092409,0.11194700928753676,0.0008136209645489886,0.0001670299964801379,1.0517446124715604,0.0,0.00015376104400827294
STFC-NYT,1,2,1,-4683.6232859695465,3,6.274119317658433,-9.569054020048567,0.0,-7.884677439205824e-06,0.98750157875744,0.0,0.0006659917301126195,0.05425142198253674,-3.92663293642309,4.84426886011363,2.3445557501306516e-06
STFC-WIRE,1,2,2,-3926.133872758936,2,-0.9288435534054987,9.56010375010868,-10.125553460849662,0.0017957255461702308,0.9436077015594022,0.0,0.0015291657463848347,6.9997611829436535e-06,0.9125629337278127,0.0885040675305504,0.00041914751731930337
STFC-GBCI,,,,,,,,,,,,,,,,
STFC-HI,1,2,1,-4328.582164329356,5,3.39438984335084,-6.643519513052243,0.0,-0.0005272358976299734,0.9707197946360292,0.0,0.0007553153587518009,0.0076933436876189185,0.44425371938071834,0.5870472371050184,0.00017952414052497352
STFC-AEO,2,2,2,-3880.4683515063566,1,0.8766175867762325,7.349358265592097,-3.6802656420298905,0.0008195191891659966,0.7873814263264478,0.19577712540247916,0.0010254400858624177,-0.001317685965979136,1.3132267716608972,-0.30957350791986116,0.00020188597646981195
STFC-THG,1,2,1,-4208.7699035919295,1,3.09711168808562,-17.374575603581015,0.0,0.0005237142628216327,0.9444727927448443,0.0,0.000773236733243893,-0.0036512797810241346,0.45649666652868603,0.5446487829110538,0.00016754577212658786
STFC-X,,,,,,,,,,,,,,,,
STFC-LZB,,,,,,,,,,,,,,,,
STFC-WTM,2,1,2,-3898.0842055326434,1,1.5125098719172068,3.7404163370745116,-7.263210486816256,0.0009062757443612105,0.8505619152790196,0.1077774127047082,0.0009944884470961153,-0.002953438884056649,1.0085328633271728,0.0,0.00017978718570540772
STFC-MTZ,,,,,,,,,,,,,,,,
STFC-SANM,2,1,2,-3820.310340738887,2,-0.4441843151415037,-7.434110265199816,6.208541496465529,-0.0003847984957538464,0.7006426485576078,0.1630976230184995,0.0014463144529764749,0.0005008756103127904,1.016039538229712,0.0,0.00034748428727184245
STFC-KSS,2,2,2,-4508.89191983772,3,3.9393495693779217,-13.53970201311629,10.164980626136938,-0.0004292637399287468,0.9311013981154268,0.05761924715826083,0.00064743007203085,0.049396761302195225,-2.1478070735703767,3.0520372389191124,0.0013014535979506481
STFC-HOPE,,,,,,,,,,,,,,,,
STFC-BLMN,1,1,2,-3855.5346653182983,3,-0.5787133142220509,11.257245674732543,-13.18486308463537,0.0020760171241968797,0.9397516594247166,0.0,0.001534310833515614,-0.00013697837050038282,1.002121400126038,0.0,0.0004263057925172798
STFC-FCF,,,,,,,,,,,,,,,,
STFC-CRI,,,,,,,,,,,,,,,,
STFC-PBI,2,1,2,-4110.446833016257,4,1.5316933439651699,8.24955040949616,-8.107774161049266,0.00031909455138692984,0.8642153382282132,0.10797467723613963,0.0009669442891424303,-0.0006967275901647375,1.0195377206410365,0.0,5.572144108921131e-05
STFC-SJI,,,,,,,,,,,,,,,,
STFC-ATO,2,2,1,-4183.130304475527,3,1.6237677448818533,0.2951559714223429,0.0,-0.0008150515756463758,0.8793796251683688,0.07998979338792189,0.0009188891520980389,0.0020938441181640394,1.075660216362877,-0.05921757257750038,3.935442579225007e-05
STFC-NRG,2,2,2,-3739.8503979340953,2,1.5402859986284643,2.538867127797613,-7.6748665374054115,0.0017975925793361127,0.8979347484274101,0.06714350920843515,0.0010758521389100674,-0.0016495293973692836,0.8422127085910063,0.15960649775595215,0.00032396859785854376
STFC-ZGNX,1,1,2,-4053.064737787222,1,2.1562531093732606,4.159528391794119,-6.835194116377369,0.001111578212241731,0.9775550505933679,0.0,0.0009402750934261824,-0.002736407872568661,1.011010940214283,0.0,0.0001311929053765199
STFC-ISBC,2,1,1,-3877.206515051518,1,0.347413789988573,4.240215390039682,0.0,0.00024914690490849124,0.8227338090859133,0.0955660130046212,0.0009081805451301957,-0.0007321445555982359,1.0006799130036228,0.0,0.0002291461198799095
STFC-UNFI,2,1,2,-3929.104636895611,4,1.0543425643957582,6.175737071969004,-5.643079564760903,0.0012848875792454313,0.8465701100812382,0.132881177859538,0.0009472920919783705,-0.001362531279193436,1.0114405680221432,0.0,0.00016589366205785723
STFC-AEL,2,2,1,-4141.509919596009,4,1.5399746913158197,-1.9787009856985895,0.0,0.0003862963347880397,0.8276500939210205,0.1055590458698763,0.0008751394358551338,-0.002018985453019529,1.2695242006901726,-0.25214824875908093,6.542958195009716e-05
STFC-SBRA,2,2,2,-3860.166568152328,1,0.8050301569071695,2.123726070158405,-1.3124358492462251,0.0011966558871060393,0.8149334570564406,0.16438106877907188,0.0010028131450347906,-0.0012059287331860138,1.1651122377687386,-0.16106235519926315,0.00018255238973515907
STFC-FLO,,,,,,,,,,,,,,,,
STFC-AZZ,1,2,1,-4082.0248904211066,3,-1.1201617523890504,-3.8155920308366023,0.0,0.005711433486679842,0.8364091316139682,0.0,0.0021080848080577658,-0.0007655904045056811,0.9577943347776277,0.04237723183461384,0.0004626420039201121
STFC-ABM,,,,,,,,,,,,,,,,
STFC-WMK,2,2,1,-4326.597977087697,5,-0.18719912980431472,27.62936463863929,0.0,0.0006866111469310478,0.9239300396787229,0.06262887877291234,0.0007215526729312543,-0.002362632627372692,0.6756564231861466,0.3336661260575591,0.0005134550882449125
STFC-MOS,1,2,2,-3542.453459064211,1,1.4375160362338113,3.3844420157065187,-5.91019474156921,0.0004722686150636997,0.9586886909594138,0.0,0.0012609972380215801,-0.0021720773151061405,0.7562851871868759,0.2530370006665166,0.0005888616460229628
STFC-WWD,1,2,2,-4347.4475334763365,3,2.876308658854449,-20.446097047819176,19.499960063442504,0.0005234348055216935,0.9725458293217075,0.0,0.0008266550005701443,-0.004975607523975769,0.333335143541742,0.7126393926383763,3.807457222271663e-05
STFC-PLXS,2,1,1,-3914.012907960815,1,0.41222322633527486,3.777106898301229,0.0,-6.589363222998107e-07,0.8805296147851287,0.08748724986543976,0.0010389257510642928,0.001013012001115956,1.002065210792818,0.0,0.00015012474769039038
STFC-FLS,1,1,2,-3706.826362209244,1,0.06578405206444154,9.26577930179125,-12.519819118062962,0.0025530118784915998,0.9446838017005722,0.0,0.001399267557342895,-0.0005914947737998381,1.0013473705606655,0.0,0.00042356104087068816
STFC-BXS,2,2,2,-3991.9919721155534,1,0.23874394834771823,8.350562876242524,1.136489663482251,0.00017927893017978883,0.7835886924308628,0.17199933798086597,0.0008523552167274914,-0.0015038648183947224,1.3626080896760495,-0.3467789537726791,0.00017419330115267466
STFC-GRPN,1,2,2,-3845.12135954844,1,2.024497746296926,-8.138533174607051,1.047597280855853,0.0019866154270746506,0.9604976438661451,0.0,0.0010404472332764866,-0.0010275153777553614,0.5521172849560685,0.4480817700771098,0.000310967280869339
STFC-PWR,1,1,2,-3662.0658259654642,1,0.3012598988819456,10.68569691749805,-14.133421395351451,0.0025986945862757956,0.9482756088010329,0.0,0.0013507043026156462,-0.0009697279984328053,1.002563373737264,0.0,0.00042472491032913366
STFC-AWI,1,1,2,-3825.172700375757,3,-0.32535693006495153,13.790364840881294,-16.21849479160258,0.0018966864152784313,0.931583737301998,0.0,0.0014360314621244244,0.00016616198614130984,1.0057425466706194,0.0,0.0004016550353317696
STFC-WBS,,,,,,,,,,,,,,,,
STFC-PCH,2,2,1,-4056.944911347054,1,3.5980876740191223,-5.689363305567373,0.0,0.0007669347432093202,0.8709200021511698,0.09495247473727986,0.0012673519934860902,-0.006472239843777761,1.170665215473882,-0.1455556437232417,3.734495792446163e-05
STFC-NWE,,,,,,,,,,,,,,,,
STFC-UGI,1,2,1,-4570.705641712164,4,2.7580801891981355,12.403459932223035,0.0,-0.0005826965493084122,0.9713386983262372,0.0,0.0006251632310235054,0.05245986512818197,-1.7704269179196839,2.102993541319078,0.0014190382833643004
STFC-BC,2,1,2,-3835.5752865030686,2,0.44830296369378764,6.591250992984344,-2.487207935121487,-0.00015998832321458055,0.9063787020836696,0.04016874995908992,0.0009457821411977285,0.00028336919519479403,1.014359348238581,0.0,0.0002451574355446826
STFC-SAH,1,2,1,-4558.955077578645,4,4.803354979659513,0.34963390438551745,0.0,0.0006496617609809738,0.9830387823332074,0.0,0.0007795727963515374,-0.02493629523043689,1.043665619726653,0.11842366171295282,3.6006772856090677e-06
STFC-RPT,2,1,2,-3901.075639330319,1,1.6264747361268181,13.803412761807502,-18.95858416391507,4.073628822999151e-06,0.9139207287928777,0.04781308277993901,0.000936498631395319,0.0003119779206934535,1.0107081325691993,0.0,0.000239189442605756
PII-SWBI,2,2,1,-4410.269035910531,7,0.5685127997665307,3.885488391160494,0.0,0.0010367060421128255,0.8820440784355696,0.11480104457933749,0.00024935816448002555,-0.005138457714403383,1.3010649051103513,-0.289622738289232,0.0017218522966006475
PII-LPLA,1,2,1,-4155.492664808043,1,2.434456366071719,-3.0382273783546463,0.0,-0.0007579112207666268,0.9941325174744385,0.0,0.0006608314957621381,0.0007573466482531932,0.900518638487739,0.10410624106307864,0.0006066868411705612
PII-UVV,2,2,2,-4306.561825185519,1,5.736734411840493,48.31099610712351,-49.44035891311746,0.0016487246481776338,0.9622065326427958,0.026494810330746077,0.0010123084255448677,-0.12793307332333625,-0.12974373835652386,0.994363468407812,0.0011769591829284768
PII-HMN,2,1,2,-4556.928033779714,8,1.9580903629744777,-2.1063863359452024,2.07196877136119,-0.0005986866979036665,0.9850411745216974,0.009642611360519027,0.0002959128787507968,-0.0010440847552745727,1.0325384669277304,0.0,0.002402135324916521
PII-MOH,1,2,1,-4618.930337806435,7,4.185156370125391,-3.495784392807927,0.0,-0.00015022288066690202,0.9971946262888924,0.0,0.0005623852948764317,-0.0041020058421418135,0.9668694902887864,0.03338772159750647,0.0007263458943263805
PII-SHOO,,,,,,,,,,,,,,,,
PII-HSC,2,1,1,-4250.693441189102,6,-2.3378857318915593,7.105611034705455,0.0,-0.00019707402068747104,0.9273410126574504,0.06408826351523089,9.434813592371766e-05,-0.0003620224660438043,1.0015340654831457,0.0,0.0009212881852983154
PII-CLR,,,,,,,,,,,,,,,,
PII-HRI,1,2,1,-4312.77583793257,5,1.429169722190891,-5.347048307582392,0.0,-0.0005353300688495238,0.9891467979996602,0.0,0.0008732901178290063,0.0016944987953510307,0.8304156499607984,0.17014723605322501,9.609265350404713e-05
PII-TG,1,2,2,-4200.717936401761,8,0.2124248719369487,24.62747391356851,-14.864164909419808,-0.000977817018883438,0.9874857908668055,0.0,0.000585652495080329,0.001067342597013271,1.8001324024328973,-0.6265293282138416,0.0015322984199252505
PII-HOG,,,,,,,,,,,,,,,,
PII-EBIX,2,2,1,-4419.030450342461,7,0.2968160630875973,5.595101422639184,0.0,0.0012610026078285486,0.8759704097849408,0.11988429481689877,0.00026136700114493265,-0.005929840178566612,1.3198560904230163,-0.30301372578158947,0.0017662802581472645
PII-PAG,2,1,1,-4530.015843805658,6,2.3704453532294876,-2.431142571473845,0.0,-0.00046809934815464187,0.9341711834692603,0.056633001144490436,0.0003260233923211916,0.0001045749319545479,1.0100628014232356,0.0,0.0028408260714539017
PII-ACCO,2,1,1,-4583.014510167922,1,0.5653833325849797,6.155869882352632,0.0,0.000857320765008808,0.9454429346633617,0.05067712590008,0.00026373053061944747,-0.004444507303278097,1.0003057735050649,0.0,0.0021767567299152647
PII-CVBF,2,1,1,-4747.007173439231,7,2.4280174127502927,0.35650640871322564,0.0,-0.00032603444777592333,0.9465397767570352,0.04764926091785071,0.00031639978862297994,-0.00394273114243995,1.083940385862627,0.0,0.0024562951264894377
PII-ESE,2,2,1,-4327.014081126342,6,0.5059663861209629,5.079415107216082,0.0,0.001192332746063146,0.8876853007323859,0.10772821889852935,0.0003251969934499877,-0.005100681308149793,1.322917308696347,-0.3161473261058205,0.0019433943741843556
PII-AVA,2,1,2,-4317.62526650057,8,3.25959571972768,-3.2453448679662342,-0.7272027507754475,-0.0005782129431471522,1.0241259584366134,-0.026041127449303758,0.0006576445623233775,-0.0008597182457218688,1.0067733674486201,0.0,0.0006366155106742143
PII-SYNA,1,2,1,-4419.002545312977,6,1.47217519088299,2.141701549100035,0.0,0.0003513090285410846,0.9925349912813083,0.0,0.00032501916840599695,-0.007383298781520838,1.2281792023507805,-0.18939933365576422,0.002925544469374847
PII-PVH,,,,,,,,,,,,,,,,
PII-EPR,1,2,2,-4176.474689182829,7,0.24857202143387364,5.975638908862122,-1.2592522879066443,-0.0006115247818411877,0.997981529374107,0.0,0.00027042590178995486,-0.0008731195762140126,1.047273598565205,-0.042457360014118706,0.001845537122597853
PII-SITC,,,,,,,,,,,,,,,,
PII-SWX,2,1,2,-4103.2548272701815,5,-1.869677855512923,-8.332075423391473,11.14437106431079,-0.00031069182697977815,1.3709164102226055,-0.3807913175896971,9.881664888464319e-05,-0.0007412380099631622,1.000642619622243,0.0,0.0008663576354014154
PII-HNI,2,1,1,-4743.794505110602,4,1.5908174437678304,4.614705476941406,0.0,6.095809310297656e-05,0.8923831555743931,0.10196394844504653,0.0002871315179171572,-0.0027142842801612665,1.0094481778265925,0.0,0.0035171096597033584
PII-NNI,2,2,1,-3648.4421715511658,1,0.6728419549602356,-2.074666702724052,0.0,0.0006481347589579129,0.986774267018621,-0.04436257962600898,0.0015369695574532797,-0.0014033919508456942,0.8607262246010272,0.1489991456603903,0.0002179489014444894
PII-CSGS,2,1,1,-4617.642916574617,8,1.671205291523783,1.272747343284,0.0,0.0007702366041253961,0.9433483961624631,0.054663035033556184,0.00026497838499014916,-0.01166087411071507,1.0382536906999258,0.0,0.0023154840108877686
PII-KFY,1,2,2,-4700.754958825188,8,2.0552233749177367,-10.920482950248935,12.950307625987927,0.0002137948012879249,0.9967950041639226,0.0,0.000309216008670936,-0.009427550098074167,0.9449707625504473,0.09978821305743679,0.0027609012597300422
PII-NYT,2,2,1,-4337.850347979139,3,-1.7236375401695985,-0.36946413716540366,0.0,-0.006484668228987835,1.008930248094451,-0.04624482170243738,0.0026120365430676484,0.0005970984057899961,0.9750400353908333,0.02692232244729098,0.0003603758150494979
PII-WIRE,1,1,2,-4868.418044674328,1,1.297209076665045,175.50980576837145,-56.32356715694082,-9.778994345482038e-06,0.995951043916491,0.0,0.0005455134550980583,-0.001997019330150348,1.0948344350841868,0.0,2.5795184814793457e-06
