,m1,m2,n,BIC,num_fit,$\delta_0$,$\delta_1$,$\delta_2$,"$\phi_{1,0}$","$\phi_{1,1}$","$\phi_{1,2}$",$\sigma_1^2$,"$\phi_{2,0}$","$\phi_{2,1}$","$\phi_{2,2}$",$\sigma_2^2$
GME-AEL,1,2,1,-3789.3989865899757,2,-2.095342532291938,0.5094926675199283,0.0,-0.010044874219509736,0.9177744483797885,0.0,0.008729342419272056,0.001624695505603898,0.9464011765487896,0.054578909153335076,0.0008166115735786976
GME-SBRA,1,2,2,-3300.497987304789,2,-0.0516504087246078,-3.3911631149766563,2.3360938385593335,-0.004014162837899866,0.9664288145601513,0.0,0.003733660603664929,0.004270537514696532,0.9387442456188779,0.06208246773526582,0.00045554688772210446
GME-FLO,1,2,1,-3848.7612657500194,2,2.423472734417073,0.8069389360241506,0.0,0.0014346524593274713,0.9942359135746854,0.0,0.0010738758934045768,-0.017378010360548146,-0.19017985593545106,1.065533900612568,0.012098351887116877
GME-AZZ,1,1,2,-4113.24267993098,1,5.199953901430606,-3.4345031745338446,1.1491180860576071,0.0023316244372797094,0.9958377545528818,0.0,0.0013092368524640597,-0.4011061239294118,1.5609214361913706,0.0,0.0033178016394965018
GME-ABM,1,1,1,-4198.229578436687,4,5.625193793015961,1.5319627358749182,0.0,0.0007467122596595354,0.9907446061665182,0.0,0.0015054666515860206,1.1134046356610838,-7.0326455034812625,0.0,4.38083580729987e-28
GME-WMK,2,1,1,-3196.8008014100424,2,-0.8653412050431762,-0.901226001654839,0.0,-0.008286533044107758,0.6430168138352386,0.28807659048227663,0.00612293332460058,0.0028590634791954175,1.001104218379733,0.0,0.0010163029920494018
GME-MOS,1,2,2,-3033.654117467943,1,-0.6043590328606744,-4.935155849990863,5.055346599286109,-0.010634414078038995,0.971856924983835,0.0,0.004529507229568623,0.005290734030168178,0.912076921829339,0.08885323605082718,0.0009648007099503841
GME-WWD,2,2,2,-3874.61676347488,4,-2.386904320274423,-0.7080068465042197,1.366140804273987,-0.013629768124626712,0.6378948519882357,0.27034016112467896,0.010215013204093317,0.0020218604512918935,0.9363861658197692,0.0637348053807969,0.0008295337319714593
GME-PLXS,1,1,2,-4029.8312321743456,1,4.025115205164116,24.49849452200908,-5.398181779700131,-0.00023293388390642597,0.9851176070052708,0.0,0.0019120475070990343,0.18508335893854022,3.1882261933513685,0.0,2.142597063131003e-33
GME-FLS,,,,,,,,,,,,,,,,
GME-BXS,,,,,,,,,,,,,,,,
GME-GRPN,,,,,,,,,,,,,,,,
GME-PWR,,,,,,,,,,,,,,,,
GME-AWI,,,,,,,,,,,,,,,,
GME-WBS,1,2,2,-3950.6509943461774,2,-2.698756578315308,1.9622113892470856,-1.4214082573413702,-0.012675328002575294,0.8925450649462832,0.0,0.01184219452789068,0.0013205671439544993,0.9249599671966422,0.07505133738512626,0.0009115705672507943
GME-PCH,,,,,,,,,,,,,,,,
GME-NWE,,,,,,,,,,,,,,,,
GME-UGI,1,2,1,-3324.9914164430133,1,0.10202027697195085,-0.40229079676460366,0.0,-0.0022004376337115515,0.9791314839588674,0.0,0.0032928517564437673,0.002611655629600043,0.922619055442901,0.07792429292642566,0.00033359730543972775
GME-BC,,,,,,,,,,,,,,,,
GME-SAH,1,2,2,-3265.4850743864845,1,0.06291701448110709,-2.645161782381008,1.5877547200844426,-0.003771859365260328,0.9689714263956131,0.0,0.0036237996663234947,0.004449211993512872,0.928586794434807,0.07228841751312132,0.00044563366600454933
GME-RPT,,,,,,,,,,,,,,,,
FANG-NTGR,1,2,2,-2382.683779626182,5,2.0678980360115005,1.7845202781612899,-4.443522071629862,0.003709223030722908,0.9700176854586637,0.0,0.010784623925670986,0.009777529892340542,0.9435978616658645,0.056850893458715746,0.0024199388151082985
FANG-MSA,1,2,1,-2226.7056453065425,8,-1.9948706067127644,-0.13909994371696663,0.0,-0.07436629473394449,0.9249203777986649,0.0,0.032580788795691866,0.013468116351728218,0.9946729002893591,0.007048498461060149,0.00780997947912597
FANG-VG,1,2,2,-2810.248034840101,7,3.9997588292172805,10.520799043691468,-9.376133878677702,0.003938720664250628,0.9916551277040012,0.0,0.0072527598657828075,-0.34878607237341885,-1.4308979855229396,2.1531249216002415,0.006313957859163994
FANG-MDRX,2,1,2,-2746.987404145617,2,0.8173419547839884,3.9500334056780497,0.10114272819719095,0.0014901671446544973,0.9323937795776374,0.06258248205011796,0.006950457743965573,0.020159965867771384,1.0044357241347057,0.0,0.007256981358643032
FANG-BANR,2,2,2,-1811.2297342367413,2,0.08181537305231673,-2.71448365106206,2.0009935326920005,-0.00885223566148459,0.8596669034553521,0.08554855490725899,0.014179073635768811,0.006224108872548012,1.0069636518717786,0.002749426868113858,0.005323308794421444
FANG-MAC,1,2,2,-2208.442082548275,4,1.995823015699155,0.15365859900676515,-1.9895731340686544,-0.0035503669790338532,0.973820596201755,0.0,0.010709999531281732,0.01564632185623399,1.0557302322365842,-0.04594083444848707,0.00196113015671796
FANG-ASH,,,,,,,,,,,,,,,,
FANG-CRS,1,1,2,-2490.7118328844026,6,3.3694570064865985,0.7710905256167778,-3.253956558002943,0.0003449568855655172,0.9827379166340635,0.0,0.009731256380235077,0.027081508933469056,1.0103822798627644,0.0,0.001083287921085713
FANG-SAFT,1,2,2,-2482.4859942883413,4,0.530092513638945,10.437755835684579,-0.8377781050656565,0.0023140570934042813,0.9878037733967777,0.0,0.010662144186494398,-0.025488824316130382,1.2055627240758415,0.38838257166035417,0.002879387494856902
FANG-SKT,2,2,2,-2061.4357510143473,3,1.7393434346433487,-3.0117928342477516,0.9503355474240802,0.005289986136451819,0.9230855368557656,0.04576255898695791,0.01246485459049238,0.007017309153269813,1.0383734599217576,-0.03659438238281609,0.0036472451684875025
FANG-SRCL,2,2,1,-2821.158758318776,4,3.8447873425991994,1.5799000598966464,0.0,-0.001005026747427376,0.9022295894029995,0.09230298053644503,0.007329416964089206,-0.04089560313041546,5.320196714130295,-5.832659959635894,0.013031883394425514
FANG-VRTS,1,2,2,-2397.919598536458,4,3.0372575850083803,1.217576335130656,-2.9003122084052726,-0.0030701528728924454,0.9827941136539635,0.0,0.010234817374598217,0.043472852422502095,0.78213201133849,0.22867122127195216,0.0008334288743943918
FANG-GPI,1,1,1,-1973.752227819358,1,-3.430592319336224,4.844383459680066,0.0,-0.0027768892476988747,0.9823237658384245,0.0,0.010409552002135676,0.005849388409898082,1.0032419905657208,0.0,0.010019079619665408
