,m1,m2,n,BIC,$\delta_0$,$\delta_1$,$\delta_2$,Spread SD,SD($\delta_0$),SD($\delta_1$),SD($\delta_2$),num_conv
HBI-UVV,2.0,2.0,2.0,-3571.4952629260906,-1.0621306866945082,-2.1031750330641206,1.9188164967523722,0.8960285463680375,0.32949863288426073,0.10976135780954895,0.06630180794273839,9
HBI-HMN,2.0,2.0,2.0,-2580.2000775385604,-0.986581780874615,-2.9844813323663884,2.8350166397188428,0.3368210163733423,0.006153326496650487,0.005411832211199339,0.0019834634315399587,10
HBI-CLR,2.0,1.0,1.0,-3613.204018530623,-0.34733348011629184,-1.0407036108413994,0.0,0.8863149675324407,0.33803137681339473,0.04630242658360816,inf,9
HBI-HOG,2.0,2.0,1.0,-3971.236584579473,-1.765104348673813,0.31507627541743255,0.0,0.8941283405762225,0.006034546470796032,0.0016374441533569591,inf,9
HBI-EBIX,1.0,1.0,2.0,-3519.338532870481,-2.193714978847983,-7.73087760338939,6.858401055140433,0.612328537063409,0.0021758992731389544,0.0030702892436994165,0.0035736170289482677,8
HBI-ESE,1.0,1.0,1.0,-3054.449084412008,-1.4707436740420543,0.6371606491883792,0.0,0.8484920251411053,0.4509734131506316,0.1952787681573879,inf,7
HBI-AVA,2.0,1.0,2.0,-2814.70336874147,-2.093677785246339,-2.652775987489516,4.408009253578847,0.3868327739129132,0.11566821079597812,0.06329336875029797,0.076367771223639,10
HBI-PVH,1.0,1.0,2.0,-2267.423337589191,-0.879973500429173,0.07978177737540279,-0.48357133615009373,0.7750510398197994,0.4049943698770983,0.10023754194320246,0.13598414443037166,10
HBI-SITC,1.0,1.0,2.0,-3853.424664982166,-3.2799649419497756,-6.622497001496056,6.607133371928839,0.8833835590273923,0.0031064350525862993,0.004004959233661935,0.004731668550065147,10
HBI-SWX,1.0,2.0,1.0,-2297.743151640648,-0.3383083389199204,0.7173924043890174,0.0,0.519212197996424,0.9122012405894259,0.14005584065667157,inf,9
HBI-HNI,1.0,2.0,2.0,-2880.699289688229,-1.2982947725295744,-4.565880145315026,1.794099242431848,0.4402826037850114,0.0009713963728751332,0.00414106088691665,0.004231805718435699,9
HBI-NNI,2.0,1.0,1.0,-3067.6502371409824,-2.2064910974682577,0.8539693824299348,0.0,0.7566533729687036,1.3263842837457303,0.8860189175249039,inf,9
HBI-CSGS,1.0,2.0,1.0,-3243.881159493918,-2.847164734153899,0.9628787284169469,0.0,0.5124870239282934,0.19655916284992864,0.08318683287131973,inf,8
HBI-KFY,2.0,1.0,1.0,-2980.0909121703394,-2.406119943909945,3.5836293234207712,0.0,0.3656590930615507,0.04273570094739466,0.03348024315739691,inf,8
HBI-NYT,1.0,1.0,2.0,-3322.190804462021,-3.588195632028152,-5.334467571578899,6.959410993007381,0.7860222747166369,0.05752642138831618,0.11057684752625493,0.12245858133968077,9
HBI-WIRE,1.0,1.0,2.0,-3792.751006450125,-1.5727231724688397,-2.9804928189943825,2.914625497650141,0.8981212471376885,0.14289141931560773,0.20895500647289653,0.2350711860446416,10
HBI-GBCI,2.0,1.0,2.0,-3114.3622653656635,-1.6273168811282317,-0.5595602611537691,2.1491276436111093,0.6211026991383934,0.4628936775604988,2.4663810927505065,2.3225034452982647,9
HBI-HI,1.0,2.0,2.0,-2735.4577948850665,-1.6343689615547383,2.1923413284766213,-2.848599582836582,0.5783810381437101,1.0420599559117887,1.324151595211312,2.189999433555913,6
HBI-AEO,1.0,1.0,2.0,-3259.322129452334,-0.9770858904038461,-1.9410381803228327,1.910520266445265,0.8932282062728486,0.2869103260184062,0.25306456704632063,0.27146671997551,10
HBI-THG,1.0,2.0,1.0,-3376.0723278415867,-2.092829317009646,2.6963421645149377,0.0,0.3476885880943008,0.3962681112719117,0.2141888876809829,inf,10
HBI-X,1.0,1.0,2.0,-3772.927900060159,-1.7147827907948467,-3.0345401559276324,3.0768184724947854,0.8977508869168981,0.12116596670820652,0.31435035680825896,0.3389276926646343,9
HBI-LZB,2.0,2.0,1.0,-2985.63931655695,-2.067605312527178,0.7891785611339003,0.0,0.6661880109664106,0.9625715343503187,0.12507130373939396,inf,8
HBI-WTM,1.0,1.0,2.0,-2503.6968703926204,-1.8779932887597817,1.9789501016027875,0.1634608676584688,0.5226283111678969,0.03630915726619393,0.0024275271459995727,0.01935736680106834,9
HBI-BLMN,1.0,1.0,1.0,-3783.7131346623178,-1.01663583393181,-0.3203475258840925,0.0,0.8978801520019258,0.280225088771023,0.04495310605207415,inf,7
HBI-PBI,2.0,2.0,1.0,-3604.833894093241,-2.5949763347151635,0.2913416505574214,0.0,0.6924384561668572,0.7505302300409805,0.9380413570003909,inf,9
HBI-ATO,1.0,1.0,1.0,-3238.707947102438,-2.688683414656586,2.4311273671597817,0.0,0.3854648322444241,0.46512184021820957,0.10747038455331923,inf,9
HBI-NRG,1.0,1.0,1.0,-3507.4041287665104,0.3119389812249178,-1.3994161952637516,0.0,0.8625407914712853,0.49711507211527944,1.0785685755471495,inf,9
HBI-ZGNX,1.0,2.0,1.0,-3240.6359117381016,-0.11789897318937279,-0.8710615666579518,0.0,0.872523762875004,0.4156051837579833,0.1173717973857126,inf,10
HBI-ISBC,2.0,2.0,2.0,-3454.2011619044983,-3.610924724281326,-4.829230470222769,8.600087307253522,0.3151906589505274,0.002535493124373187,0.00459655361114751,0.005565747740392044,10
HBI-UNFI,1.0,1.0,1.0,-3917.655066985205,-1.6087066130302918,0.4611065584189508,0.0,0.8860358735287878,0.17380605864921492,0.009936894160253468,inf,10
HBI-AEL,1.0,2.0,1.0,-3120.403265972088,-1.857779346336726,-0.05434561848225439,0.0,0.41014524191650586,0.32814216511107897,0.28317584124732936,inf,9
HBI-SBRA,2.0,2.0,1.0,-3143.9033145337094,-1.607927107513874,0.6362272421282317,0.0,0.8186537561617343,1.9171340459150212,0.8026215030491183,inf,9
HBI-FLO,1.0,2.0,1.0,-3506.553333373051,-2.3075962589020973,-0.8678330055293785,0.0,0.8297526950322165,0.13247821105709143,0.009959473150824627,inf,8
HBI-AZZ,2.0,2.0,2.0,-2312.293944364479,-1.1936013376870107,-1.5550577347149888,1.391480728171495,0.6635280391504728,0.04388724653649487,0.026844714204756474,0.027682810449694766,7
HBI-WMK,1.0,1.0,2.0,-3709.435020564061,-2.651139500416453,-5.890763316039251,6.488550252982312,0.886389444097945,0.0017229658271962621,0.00279585618450426,0.002823893988802005,10
HBI-MOS,2.0,1.0,1.0,-2572.4953606253785,-0.7191175939430298,-0.33051794640143695,0.0,0.7144743474115317,0.26778908028124127,0.10404504108094714,inf,8
HBI-PWR,2.0,1.0,2.0,-3696.4511336698138,-0.7841950346607691,-1.4419404338475754,0.5613592636569233,0.8874809117770754,0.10211811563839537,0.04700755845275626,0.04901853292928659,10
HBI-AWI,1.0,2.0,2.0,-3859.030440437323,-2.087861966630416,-2.3323570718943447,2.3018587452635177,0.8972587436499618,0.0028075967897487142,0.004840661603756862,0.005377982465225252,10
HBI-NWE,1.0,2.0,2.0,-3054.0842137755712,-2.8733883525541843,-3.156047632467266,6.234742140284018,0.3441355965612432,0.0016053249291503979,0.0048553918873167545,0.0062454979085434575,10
NWL-AIN,1.0,1.0,2.0,-4597.987890128841,-3.8225570376358378,-0.4469545126057497,5.581147041017263,0.25382998757302644,0.007962928329304706,0.0031314451999542997,0.001125276572708896,10
NWL-CFR,2.0,2.0,1.0,-4891.832969479952,-3.912755137455042,7.97587098653346,0.0,0.29825554685876077,1.2809195140304572,2.2671936873069227,inf,9
NWL-PII,1.0,1.0,2.0,-4894.07274791119,-3.5922873306747367,8.905482679446305,-1.4552463309206336,0.27659076160778795,0.008495575986891078,0.2366329904980138,0.206710033428795,10
NWL-SWBI,1.0,1.0,2.0,-4735.782970732184,-3.4751820516628324,33.524046383032115,-33.04959185484574,0.21914221198988432,0.00030597026060314635,0.00521632389090072,0.005227359790584612,9
NWL-LPLA,2.0,1.0,1.0,-4970.5075890015305,-5.533737089032936,11.766154797122176,0.0,0.28229312621802605,0.008237780407237239,0.004875826672775524,inf,10
NWL-UVV,2.0,1.0,2.0,-4922.432417223766,-4.3563203330212055,-1.3265903854718535,7.8317370078950415,0.3184926110655375,0.0027830480441222525,0.006226778735302416,0.00920307504150599,10
NWL-HOG,1.0,2.0,1.0,-4591.749331202643,-3.070911966812154,4.011171894956785,0.0,0.31877452981208454,0.009197103438406098,0.008045847634891051,inf,10
NWL-PAG,1.0,1.0,1.0,-4667.439695116127,-0.04965508388598775,3.1451511213412378,0.0,0.17885290651281602,0.1310538856893071,0.05903587654708826,inf,10
NWL-AVA,2.0,1.0,2.0,-4338.79906254047,-3.2468248284205825,2.0277062822769287,9.145220118246828,0.15674195145763267,0.11704668745275654,0.12404839847208439,0.18096567878877826,10
NWL-SITC,1.0,1.0,2.0,-4993.849611139764,-4.722951563025452,0.23810640408557937,6.871741962797865,0.31903628923270466,0.060677272294009925,0.08602992708165012,0.1788134624818311,10
NWL-HNI,1.0,2.0,2.0,-4596.583671246309,-2.7158209838409286,3.4245331890007344,1.6080079065534807,0.1825177970431871,0.037944153247382206,0.21359745792965198,0.1853338916950793,10
NWL-NNI,2.0,2.0,1.0,-4890.83966205155,-3.5609226085779855,6.378043379684964,0.0,0.30214890280580753,0.15342076519346246,0.01678561852600602,inf,10
NWL-NYT,2.0,2.0,2.0,-4705.754442401514,-2.263560359436197,-4.723468268245905,8.908086477887434,0.2875344902822233,0.003383318880595668,0.004663225027051869,0.006046142311463768,10
NWL-WIRE,1.0,1.0,2.0,-4847.503585232867,-4.375054664027983,0.40566214113702626,5.986245447759802,0.31962033244523924,0.0020631967095812867,0.002888314969015444,0.005998108764218365,10
NWL-GBCI,1.0,1.0,2.0,-4367.537496012248,-0.2279642523575261,10.235897208133608,-6.129740619067739,0.22582956120627506,0.05639410888094744,0.0003610026609139894,0.08278661071125626,2
NWL-HI,2.0,2.0,2.0,-4521.292733227596,-3.141444739803533,4.269431073440252,0.05586873773565307,0.24461548606428982,0.01291176490754059,0.1768243599520622,0.1787725140903914,10
NWL-AEO,1.0,1.0,1.0,-4819.508264268821,-3.6979361870377154,5.051566627892483,0.0,0.3194936552702257,0.005938716462915626,0.007724803203438048,inf,10
NWL-X,1.0,2.0,1.0,-4178.719811049919,-0.5617393239800399,1.1721544340272698,0.0,0.31376121281841235,3.069781176896005,4.647675778822319,inf,8
NWL-LZB,2.0,1.0,1.0,-4454.516121599613,2.269795036416959,-5.090640982880545,0.0,0.22320265499305547,0.26462512867101007,0.22756519274951462,inf,10
NWL-KSS,1.0,2.0,2.0,-4815.821832561637,-4.056592613254918,5.0795231848579405,0.25705200592676514,0.2727612570014466,0.0026370803285308835,0.003490388773395728,0.001704994521223114,10
NWL-BLMN,2.0,1.0,2.0,-4683.055241880382,-3.4025881393827295,-2.638491075008842,6.861280180071848,0.3182826948430473,0.024042920744853206,0.11252534770944989,0.131784556248844,9
NWL-PBI,1.0,2.0,2.0,-4899.152810524071,-4.223592002076282,7.002604624493468,-0.10827553086403913,0.27668535779586184,0.015403650341128422,0.18000965343685252,0.19318632718600096,10
NWL-ZGNX,2.0,1.0,2.0,-4733.713241412631,-3.8852826807283654,-5.2193364382634755,10.403130306500328,0.3171036854150104,0.0014946200609621213,0.004919750656750882,0.007152021005076407,10
NWL-UNFI,1.0,2.0,2.0,-4851.0163905562285,-4.018235981986082,1.8702191382662061,3.835513735396822,0.3195343000702971,0.07952638076290283,0.08723063872377176,0.20152596041306517,9
NWL-AEL,1.0,1.0,2.0,-4622.079728218894,-3.9288776724164003,5.777345848642021,5.82625741984772,0.17922869877059505,0.009901066684485234,0.15742638062977396,0.13095299004202002,10
NWL-SBRA,2.0,1.0,1.0,-4898.816689565153,-3.360203564105911,5.427286960644766,0.0,0.30926773251660733,0.1957708209193633,0.1683453519531741,inf,9
NWL-FLO,2.0,1.0,2.0,-4664.111231405063,-3.967617692882449,31.138430324947816,-29.01306003332009,0.26851235181716215,0.0007941267086201665,0.004401190466262145,0.0028963961076618736,9
NWL-WMK,1.0,2.0,2.0,-4991.596948064317,-5.84851452775001,-2.408620854021293,12.180927637912221,0.316667920496435,0.004571667842964029,0.001910912257926176,0.006023810219898991,9
NWL-WWD,2.0,1.0,1.0,-4388.36688735467,3.198997752962866,-4.854751438235424,0.0,0.2160927343189645,0.1479713185826849,0.14076251904826217,inf,8
NWL-PLXS,1.0,2.0,2.0,-4696.448536682207,-3.5511290928083246,10.621318637534255,-4.580285492441614,0.26434230008153997,0.0015723376655480412,0.005017017688102618,0.005854976956808792,10
NWL-AWI,1.0,1.0,2.0,-4818.988033779388,-4.447107753201674,-0.04283182675285224,6.6132335119550945,0.319605131585505,0.002432335079266457,0.003237162264613358,0.006968582156975582,10
NWL-SAH,1.0,2.0,2.0,-4779.837886710117,-3.4742493789963427,-29.281137467619715,31.49374990435409,0.31169454870771895,0.0007482247967474562,0.0045120888702773814,0.00527629205947277,10
NFG-AIN,1.0,1.0,2.0,-5192.251747490771,1.6896948644473186,-15.940853207051102,12.329084755547655,0.15480153473893413,0.35541514277911873,1.2080887105285487,2.5198705272624875,9
NFG-EBIX,1.0,1.0,2.0,-4972.593588205353,1.7196370453925813,-34.823252501883424,37.3777218538997,0.13952800681930919,0.4947928646674408,27.57705339679126,6.585035052873055,9
NFG-HI,2.0,1.0,2.0,-5486.970812756749,1.0171078704303358,4.181160844856325,-7.246062950311193,0.15099315516782025,0.42686593072274015,1.0325630840074227,0.7738490495895918,9
NFG-KSS,1.0,2.0,2.0,-4836.7100483074855,0.08947954081354922,-6.953898021651211,6.449271420852959,0.15917600092641454,0.5899750087575253,0.710883593737855,0.6778545032766699,9
NFG-PBI,1.0,2.0,2.0,-5075.160251159999,1.6636178900731897,-38.347512860974454,37.621182895022756,0.13140127500757748,1.1070231100072856,22.854383364313307,28.047839812739706,8
NFG-AEL,2.0,2.0,1.0,-5060.027303087008,0.8337234648419286,-2.973825845352871,0.0,0.1625174738923662,0.5820234229958702,0.1931257701575145,inf,7
PFS-MATX,1.0,2.0,1.0,-5411.821715355067,1.322698719700641,2.5723601186502814,0.0,0.08433887107886441,0.0,0.0,inf,1
PFS-UVV,1.0,1.0,1.0,-5188.331146389948,-1.4047294950440712,6.230049634107774,0.0,0.1354936985342907,0.7989483255664273,0.6788852750296771,inf,8
PFS-MOH,1.0,2.0,1.0,-5288.446337501486,1.6535690062684505,4.301049874217155,0.0,0.08804963968136484,0.5944073934387623,0.08595922942343226,inf,6
PFS-HSC,1.0,1.0,1.0,-4741.322218729625,1.1035365407119802,4.965233344775231,0.0,0.10271100218233524,0.0,0.0,inf,1
PFS-CLR,2.0,1.0,1.0,-4990.918627933119,0.8632558123606455,6.290187302193817,0.0,0.13269327319725296,0.47094904249487785,0.1758738858123646,inf,9
PFS-HOG,1.0,2.0,2.0,-5194.663286702219,1.3746159750951117,26.63095659749598,-25.318368220087194,0.1378287544680713,0.08400269189224978,0.8876507912124673,0.9844816632913009,10
PFS-NNI,1.0,1.0,2.0,-5299.967429768813,2.7246525187163217,50.83792877942175,-55.63807740979767,0.1315555422737146,1.727185601790836,14.554999456164229,16.311025168089238,9
PFS-NYT,1.0,2.0,2.0,-5301.231461518653,-2.6256470947607395,-17.72734939033841,24.175927834837566,0.10783350846808361,0.03729829904367495,0.46885857546887066,0.5065856999808084,6
PFS-GBCI,2.0,1.0,2.0,-5806.519236569004,-2.368145769028726,14.259710964702537,-10.709417232648178,0.07480083139590851,0.08742181605586685,2.446184552720121,2.3207265947534523,2
PFS-AEO,1.0,2.0,1.0,-5221.3707553009335,1.7336540617411265,1.6194394520462958,0.0,0.1374417544165008,0.25243277870932573,2.095934082123852,inf,10
PFS-X,1.0,1.0,1.0,-4999.043021755294,0.7174061909428602,7.881584791410232,0.0,0.13419732291361494,0.6069270550126529,0.27364329928045483,inf,6
PFS-BLMN,2.0,2.0,1.0,-5232.315271647006,0.8787694069471417,2.2811229478762662,0.0,0.13794696024441455,0.9453625371915279,0.3897322506505179,inf,9
PFS-SJI,2.0,2.0,1.0,-4846.82051901259,1.4954858197123593,5.4150461154898695,0.0,0.13341040800297077,0.9135468932298378,2.563011489744145,inf,4
PFS-WMK,1.0,2.0,2.0,-5151.707315466241,-1.9235838074039653,0.04283701849908139,6.1024563674837236,0.12730864573016734,0.012680462123062803,0.003929877391304581,0.010724377487380131,10
PFS-FLS,1.0,1.0,1.0,-5178.270334103475,0.077379691860616,5.000317481854522,0.0,0.13528620869613586,0.8438633629735446,0.18111263207952655,inf,5
PFS-GRPN,1.0,2.0,1.0,-5018.413201250968,0.21736487738379218,6.546595585659212,0.0,0.1308294608700175,0.8409330955431334,0.5540744897438861,inf,9
PFS-AWI,1.0,2.0,2.0,-5074.464992214391,1.0076645905494082,18.884905513111143,-19.030433509828008,0.13792279980422903,1.1197361483546915,3.2121121011726324,3.4112429557898936,10
PFS-WBS,1.0,2.0,1.0,-5985.365475714232,3.064707844914298,6.168213211690014,0.0,0.05250450442994164,0.1557205153450263,0.45553418611295865,inf,9
AIN-STFC,1.0,2.0,1.0,-4725.44275043114,3.373294796665246,-2.0207942089926476,0.0,0.11728304605128993,0.005105672933472226,0.002474353753931426,inf,10
AIN-CVBF,1.0,2.0,2.0,-5187.231183382494,4.630495540654395,-97.21165258072931,102.05758284616387,0.11833855298402214,0.0006452395579320374,0.001794098255948552,0.0017488511855870922,10
AIN-HOPE,1.0,2.0,2.0,-5073.217071254215,3.542859727039245,-66.61300419755858,74.57212242146193,0.14343062798076947,5.8334718640589854e-05,0.0024269953542019385,0.0033495352086275873,10
AIN-SJI,2.0,2.0,1.0,-5037.135431175319,4.076513992329502,2.822883826181732,0.0,0.16968263801453007,0.0006420389272572296,0.0018432618237591222,inf,10
AIN-ATO,2.0,2.0,1.0,-5016.352288518932,6.900890389809864,-11.772906129944861,0.0,0.13704073197301359,0.002501474239710942,0.007697714772269264,inf,10
AIN-RPT,1.0,1.0,1.0,-5129.100389161218,14.578818305003885,-43.27859947883287,0.0,0.12771835303895493,8.888625453043184e-05,0.0003612045159869262,inf,7
HR-BRO,2.0,1.0,2.0,-5677.732817824806,-4.533614919188637,-47.32370718203869,59.794213341866055,0.0976109934617216,2.2037814033433505,23.85598398310809,25.582256320793633,9
HR-CFR,2.0,1.0,2.0,-5420.465793704546,-2.709439672510012,25.067965939793403,-18.856455657693438,0.10361313680884021,0.041167142996305875,0.37343427047448563,0.32405626197068965,5
HR-AN,2.0,1.0,1.0,-5232.155415640671,-1.2100364221863191,-1.5099280676633082,0.0,0.09000414294630851,0.2691333358826354,1.4312127023836256,inf,8
HR-STFC,2.0,1.0,2.0,-5515.794255614254,-2.1173357552677596,20.275048648595018,-22.732748765519045,0.09807500741735568,0.09681999823216804,1.7368057205147513,1.8201514197819473,8
HR-PII,1.0,2.0,1.0,-5363.299524226328,-0.7418892749750627,5.289526861392969,0.0,0.10452799015975628,1.2889090478706582,0.991216769922062,inf,10
HR-SWBI,2.0,1.0,1.0,-5409.938910626775,-2.1226923628885492,3.651835668366185,0.0,0.10231035104548665,1.0793233009207215,0.40392577428375426,inf,9
HR-LPLA,2.0,1.0,2.0,-5431.46663699367,-2.36463853853099,14.32614254646505,-10.141276436202432,0.10451065186905874,0.16200590129102013,0.4767320720451211,0.22871037285767437,10
HR-UVV,1.0,1.0,1.0,-5540.846880229638,-2.301232917525941,6.452288335924156,0.0,0.10441232174941331,1.2234026974100707,0.8043470301792924,inf,8
HR-HMN,1.0,1.0,2.0,-5729.63868812489,-0.8971101427030873,-4.698312337957584,9.671875405696767,0.09877183601373457,0.9884895657924156,7.715670419442305,8.168063057140445,9
HR-SHOO,1.0,1.0,2.0,-5052.97093458462,-1.4673323951384054,-12.563550203271626,19.51925233248362,0.1032717809681767,0.7659724870549773,1.8492787448863,2.2347500619425635,9
HR-HOG,2.0,1.0,2.0,-5211.290162020624,-2.279524042183908,16.245771565450056,-12.439384347557985,0.10140198717263783,0.16015289739494826,0.6786451229657682,0.46703538503008807,8
HR-EBIX,2.0,1.0,2.0,-5320.436203730409,-1.696165760740414,36.303548521793076,-36.3658494381621,0.08765723206421212,2.2869763223750064,6.706681407762334,2.592671612264281,8
HR-PAG,1.0,2.0,2.0,-5652.177830386821,-0.4490001804555248,0.9039294132040954,1.9807382824843973,0.10096021475734973,1.2257925643623155,9.467699183813734,7.57821702014543,10
HR-CVBF,2.0,1.0,1.0,-5638.958753351821,-0.9775930528393515,2.005318172215939,0.0,0.10177749894689565,1.152645202293463,0.1737411918433738,inf,10
HR-ESE,1.0,1.0,1.0,-5246.225507891305,-0.2091216696532677,4.684227073798546,0.0,0.09218397644794338,1.2572633436041856,3.1720358181356243,inf,8
HR-SYNA,2.0,1.0,1.0,-5479.7920543670725,-1.4677396441221695,-2.105793764340861,0.0,0.0945761084015593,0.21561464714403802,0.3160240875495893,inf,9
HR-SITC,1.0,1.0,2.0,-5904.898990197465,1.9850458934243573,-28.219895872426022,15.291251967175112,0.07044451897914046,0.9897444498977777,3.0875093105813263,3.6066283846711826,7
HR-HNI,2.0,2.0,2.0,-5589.95476681257,-0.7604715969402485,-0.01677337514196431,0.6912224768433746,0.08812636584249199,0.7199507011758455,1.1763795099481422,1.4945486463387254,10
HR-CSGS,2.0,1.0,2.0,-5599.454949853981,-2.2433846666673016,21.55441825199181,-18.530910683613225,0.10098281829750963,0.12325292291784908,1.2039841623534866,0.9638738303008236,10
HR-KFY,1.0,2.0,1.0,-5478.260251416465,-0.8788114049061653,2.746819908377737,0.0,0.0962713443320861,0.7500018294844578,0.43175312964329715,inf,7
HR-NYT,1.0,1.0,2.0,-5575.918710488772,-0.9133956801973282,-1.3097654829758694,7.577783109627417,0.10448681854023358,0.28469261879067326,0.7192602274423333,0.6949509516790614,10
HR-GBCI,2.0,1.0,2.0,-5514.928577774236,-2.12875859240524,12.781707242678507,-9.285757805189206,0.10453767340754444,0.1567335515497128,0.5004084952396403,0.2625240254009635,10
HR-HI,1.0,1.0,2.0,-5765.790605289756,-1.7173928099681186,-38.262896002984775,42.06976792845116,0.09795269609187152,0.7790989709149225,4.066623036293553,4.7775898078589885,8
HR-AEO,2.0,1.0,1.0,-5554.46563389137,-1.4087904431060916,3.372996927793445,0.0,0.10284278568186174,0.6652281806725875,0.259333332738675,inf,10
HR-THG,2.0,2.0,1.0,-5764.108026949997,0.048733631381137496,2.0871390481273773,0.0,0.09112619664032068,1.6714770788038906,1.7255149247029746,inf,9
HR-SANM,1.0,1.0,1.0,-5558.865131519982,-1.6633106814007492,2.268264053543362,0.0,0.09372142032825667,1.1521910325379865,0.8789368596291455,inf,6
HR-KSS,2.0,1.0,1.0,-5417.648030923048,-1.3884102680077957,2.982196906238482,0.0,0.09996892862145375,1.0771082450342497,0.5071797152007561,inf,9
HR-HOPE,2.0,1.0,1.0,-5535.161976259035,-2.0947448333063994,4.013370508084268,0.0,0.10445346067645384,0.2885814449595251,0.6237936719192312,inf,10
HR-BLMN,2.0,1.0,2.0,-5317.253254844161,-2.2073471970357637,15.018730044256804,-11.687755216491812,0.1032246743262507,0.5535163221410144,5.614025997582469,6.425732226537873,9
HR-FCF,1.0,1.0,1.0,-5832.571247850044,-1.521822550764677,2.38150320141812,0.0,0.09945209824312956,0.82571305700597,0.6407267429583668,inf,6
HR-CRI,1.0,1.0,2.0,-5590.447356176168,-2.7204727589595983,29.96334889488005,-26.542981977384493,0.09768075420361313,1.3320280767368313,10.333276350132632,11.194535146623599,8
HR-PBI,2.0,1.0,1.0,-5605.255163666179,-1.3406967587936984,3.096031979267221,0.0,0.10380455171541798,0.9108076419194306,0.43608083058189306,inf,10
HR-SJI,2.0,1.0,1.0,-5619.788979005818,-1.4589829703371697,4.249805561977879,0.0,0.10319661207312814,1.310053008301265,1.2441568865708463,inf,9
HR-ZGNX,2.0,2.0,2.0,-4992.863004764091,-2.4037248378648255,14.37338117757319,-6.652669704242297,0.08769539851932208,0.6579670594498825,7.063755297686739,6.551568033005376,8
HR-ISBC,2.0,2.0,2.0,-5376.200369164081,-1.4817431100289218,4.895925593169059,-4.265395309771934,0.09481258663901565,0.2266280585634608,2.6424308954629,2.843855291801518,10
HR-UNFI,2.0,1.0,1.0,-5531.0293086022775,-1.5227716781117022,4.905381651345364,0.0,0.10423895087374598,1.0125026350377326,0.3631879291767215,inf,8
HR-AEL,1.0,2.0,1.0,-5563.532783970622,-1.2223342909459731,4.317267808904354,0.0,0.09845214954150451,0.5001165986774894,0.30572621736349787,inf,10
HR-SBRA,2.0,2.0,1.0,-5636.866715347168,1.3669556397778142,-0.28368777464537664,0.0,0.09095824715540184,1.6592796661907119,1.282849726264137,inf,10
HR-FLO,2.0,2.0,2.0,-5578.134844282191,-1.527128485967443,11.395247144752155,-8.709449082735826,0.10217070342378945,0.18632820809278774,1.5381120551279561,1.5209112708003143,6
HR-AZZ,1.0,2.0,2.0,-5449.004277645043,-0.2549920908735263,2.947860124934633,-2.9758906569542045,0.09622828988316429,1.0105662507998923,5.12362014165388,4.918811302788126,9
HR-ABM,1.0,2.0,1.0,-5674.423756308694,-1.023462490478522,2.9613313559583454,0.0,0.10083446010006494,1.1018500897399066,0.4312541032738718,inf,7
HR-WMK,1.0,1.0,2.0,-5362.360671338719,-2.2196614762792426,-2.058397314153599,9.671096706466773,0.10362879914818736,0.2402206451405385,0.02520042344097577,0.07287440894380702,10
HR-MOS,2.0,2.0,1.0,-5409.715982190184,-1.569308580259083,4.481233221212402,0.0,0.10402046207631821,0.7556555390137007,0.4026765466940106,inf,10
HR-WWD,2.0,2.0,1.0,-5615.4211034932105,-1.2750684579853635,0.023213928947054985,0.0,0.09911778821656676,0.9395591076549018,3.2462931605306684,inf,8
HR-PLXS,2.0,1.0,1.0,-5559.03388937354,-2.393688499960326,4.761723986861159,0.0,0.10453714032193544,1.0512257576757027,0.2890570364758426,inf,10
HR-BXS,2.0,1.0,2.0,-5386.255462550188,-2.2675333447518384,13.941409958640854,-10.850922906934109,0.10429514280406532,0.15924946185147482,0.5272467427264154,0.2450156334766722,10
HR-WBS,2.0,1.0,1.0,-5489.279849768803,-0.9633874281723103,2.167004222214596,0.0,0.09643910235654203,1.6058610690713717,0.47176211931640394,inf,9
HR-PCH,2.0,1.0,2.0,-5371.152706488289,-1.9888136166553059,10.702267483390244,-7.5965754923843924,0.10448764256460515,0.5945956677570532,3.7018816602506823,4.036041829374247,9
HR-UGI,2.0,1.0,1.0,-5621.548758053919,-1.576819907235374,-3.44790599400363,0.0,0.08611445493167144,0.3770643717218686,3.3877466292230616,inf,9
HR-BC,1.0,2.0,2.0,-5665.445961586698,-3.027708943003357,-21.219807744739455,27.42638807910729,0.09460951480338008,1.7156906712544842,0.726692443433654,1.9951603660972663,7
HR-SAH,1.0,2.0,2.0,-5360.938213050694,-2.077124072764241,-43.90535669644713,43.117521235569754,0.09909502836852338,0.8983762473572018,10.350746874057958,10.990725975415394,10
CFR-HSC,1.0,2.0,1.0,-5100.286057076687,1.5856983986780293,-12.581698466018201,0.0,0.12189528690836181,0.49560520255276386,0.9462565302211499,inf,6
CFR-CLR,2.0,2.0,1.0,-5133.16036345713,1.0317800730508924,-11.025999185694445,0.0,0.09927753980843747,1.6281344595266274,4.646118929844906,inf,9
CFR-HRI,1.0,2.0,1.0,-5034.913104577944,0.39726616293751665,-9.530126593708454,0.0,0.11340895596171185,0.9326176105936517,0.3920560093164499,inf,8
CFR-PVH,2.0,1.0,1.0,-5153.786640994825,1.9261889794912446,-14.18840264926391,0.0,0.12164051626807214,0.8315692014803342,2.405655842011048,inf,6
CFR-SITC,1.0,1.0,1.0,-4943.352700524495,2.4544557078138074,-14.802795719050925,0.0,0.12278015716755897,0.5461055602199574,1.8259788286019667,inf,2
