,m1,m2,n,BIC,$\delta_0$,$\delta_1$,$\delta_2$,Spread SD,SD($\delta_0$),SD($\delta_1$),SD($\delta_2$),num_conv
BANR-MTZ,2.0,1.0,2.0,-4079.702309378284,1.8021372649874419,-25.008323035648086,16.33963509089509,0.1601129084098906,0.4877099622315891,1.938860458582516,0.8210099138479456,10
BANR-SANM,1.0,2.0,2.0,-4924.884608445173,-3.067891865067607,15.298348219558074,-9.644775495578829,0.13486973217563927,0.028408386927657115,0.16111950702320288,0.1681441702620062,9
BANR-KSS,2.0,1.0,2.0,-4594.834264714197,,,,0.17472720517723034,,,,0
BANR-PBI,1.0,2.0,1.0,-4527.481622246385,0.18995029832132146,1.7018234234654337,0.0,0.16590960431191648,0.7749268291746515,1.0871740400187389,inf,9
BANR-SJI,1.0,2.0,2.0,-4283.674545149072,2.4805580554560036,9.763118791074447,-16.465277271764542,0.19737949600929244,0.011495490677985097,0.14027095201852136,0.15361966038108318,10
BANR-ZGNX,1.0,1.0,1.0,-4694.469277702906,2.0009491411140834,-2.080299038119348,0.0,0.20316194770821894,0.016658439124889513,2.630400205094566,inf,2
BANR-ISBC,1.0,2.0,2.0,-5166.192098598766,-2.3242899041411347,-12.60279626757897,16.766664762114008,0.06181889540268258,0.00240401811619291,0.007652934391132545,0.0018971866748915508,10
BANR-UNFI,2.0,2.0,2.0,-4511.386845135729,-0.6216601176429554,-4.055472447213808,2.6924934102599667,0.20221617771846565,1.6332343987432194,15.552072102014446,18.41186989959786,10
BANR-AEL,2.0,1.0,2.0,-4769.483472008363,-1.5543335608546496,9.978384560231195,0.3497590499080873,0.09519469104668746,0.28415387931972824,1.9312188115499525,2.545214064427383,10
BANR-SBRA,1.0,2.0,2.0,-4479.096209107301,0.6241003002009868,-4.335100015620403,2.628939235922513,0.19967189464320692,0.4145472527660359,3.3924442974546873,3.9004462139691456,7
BANR-WMK,2.0,2.0,1.0,-4755.309367215335,-1.2897728414353309,4.743516380692917,0.0,0.192201270820696,0.6667195312653721,0.2622908719058351,inf,8
BANR-FLS,2.0,1.0,1.0,-4478.788528131427,1.4657633633872296,-5.0269784144549075,0.0,0.19939375653790858,0.6136220340999675,1.1233101358380875,inf,6
BANR-PWR,2.0,2.0,1.0,-4390.42890564922,2.2815843559366513,-6.735773427062947,0.0,0.19470416146808386,0.5102799162196638,0.675575314195371,inf,5
BANR-UGI,1.0,1.0,2.0,-4752.05038547144,0.17944815248720777,-2.399244564837824,12.183687392150802,0.12096799413988031,0.3482277555038051,2.5021734657882835,2.2683233479766796,7
